#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.9041876295e-01	-1.0608717939e-01	1.7328737377e+00	-1.4363677953e+00	-7.6167505178e-01	-2.0333376050e-01	3.2791569270e+00	-2.3141481147e+00	0.0000000000e+00	-1.0608717939e-01	1.0636657096e+00	-9.5757853021e-01	4.1374206382e-04	-3.0008519179e-04	-1.8939609189e-03	3.9860962541e-04	-1.0343551595e-04	3.7023681408e-05	-8.5940973461e-06	7.5005931893e-05	5.7911644057e-04	2.2912313576e-04	3.4100832634e-03	-7.7917877352e-04
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.7975561485e-01	-2.1217435878e-01	2.5051543346e+00	-2.8727355906e+00	-7.6092924450e-01	-4.0666752100e-01	5.7958929949e+00	-4.6282962294e+00	0.0000000000e+00	-2.1217435878e-01	2.1273314192e+00	-1.9151570604e+00	4.1333694113e-04	-6.0017038358e-04	-3.3737746513e-03	7.9721925081e-04	3.1492338372e-04	7.4047362815e-05	-5.3898261032e-04	1.5001186379e-04	9.8289521142e-05	4.5824627152e-04	5.8749715982e-03	-1.5583575470e-03
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.6993543317e-01	-3.1826153817e-01	4.0574294910e+00	-4.3091033860e+00	-7.4804025603e-01	-6.1000128150e-01	8.3004858816e+00	-6.9424443440e+00	0.0000000000e+00	-3.1826153817e-01	3.1909971288e+00	-2.8727355906e+00	4.0633563962e-04	-9.0025557537e-04	-4.8469922049e-03	1.1958288762e-03	3.0958905876e-04	1.1107104422e-04	-6.4567789866e-04	2.2501779568e-04	9.6624645580e-05	6.8736940727e-04	8.2264088066e-03	-2.3375363206e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.6028159048e-01	-4.2434871757e-01	5.6095383084e+00	-5.7454711813e+00	-7.3536958751e-01	-8.1333504200e-01	1.0805297088e+01	-9.2565924587e+00	0.0000000000e+00	-4.2434871757e-01	4.2546628384e+00	-3.8303141208e+00	3.9945292956e-04	-1.2003407672e-03	-6.3203283499e-03	1.5944385016e-03	3.0434508919e-04	1.4809472563e-04	-7.5246354239e-04	3.0002372757e-04	9.4987970487e-05	9.1649254303e-04	1.0578171285e-02	-3.1167150941e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.5079126926e-01	-5.3043589696e-01	7.1614836043e+00	-7.1818389766e+00	-7.2291354091e-01	-1.0166688025e+00	1.3310322917e+01	-1.1570740573e+01	0.0000000000e+00	-5.3043589696e-01	5.3183285480e+00	-4.7878926511e+00	3.9268680217e-04	-1.5004259589e-03	-7.7937810776e-03	1.9930481270e-03	2.9918994451e-04	1.8511840704e-04	-8.5933801102e-04	3.7502965947e-04	9.3379018190e-05	1.1456156788e-03	1.2930253524e-02	-3.8958938676e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.4146169971e-01	-6.3652307635e-01	8.7132681485e+00	-8.6182067719e+00	-7.1066848087e-01	-1.2200025630e+00	1.5815559732e+01	-1.3884888688e+01	0.0000000000e+00	-6.3652307635e-01	6.3819942576e+00	-5.7454711813e+00	3.8603528273e-04	-1.8005111507e-03	-9.2673484133e-03	2.3916577524e-03	2.9412212018e-04	2.2214208845e-04	-9.6629979998e-04	4.5003559136e-04	9.1797319108e-05	1.3747388145e-03	1.5282650106e-02	-4.6750726411e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.3229015892e-01	-7.4261025574e-01	1.0264894664e+01	-1.0054574567e+01	-6.9863083359e-01	-1.4233363235e+00	1.8321003960e+01	-1.6199036803e+01	0.0000000000e+00	-7.4261025574e-01	7.4456599672e+00	-6.7030497115e+00	3.7949642995e-04	-2.1005963425e-03	-1.0741028416e-02	2.7902673778e-03	2.8914013711e-04	2.5916576985e-04	-1.0733474302e-03	5.2504152325e-04	9.0242411611e-05	1.6038619503e-03	1.7635355708e-02	-5.4542514146e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.2327397014e-01	-8.4869743513e-01	1.1816365828e+01	-1.1490942363e+01	-6.8679708581e-01	-1.6266700840e+00	2.0826652087e+01	-1.8513184917e+01	0.0000000000e+00	-8.4869743513e-01	8.5093256768e+00	-7.6606282417e+00	3.7306833543e-04	-2.4006815343e-03	-1.2214819176e-02	3.1888770032e-03	2.8424254128e-04	2.9618945126e-04	-1.1804794477e-03	6.0004745515e-04	8.8713841891e-05	1.8329850861e-03	1.9988365096e-02	-6.2334301881e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.1441050194e-01	-9.5478461452e-01	1.3367684270e+01	-1.2927310158e+01	-6.7516378380e-01	-1.8300038445e+00	2.3332500660e+01	-2.0827333032e+01	0.0000000000e+00	-9.5478461452e-01	9.5729913864e+00	-8.6182067719e+00	3.6674912309e-04	-2.7007667261e-03	-1.3688718819e-02	3.5874866286e-03	2.7942790331e-04	3.3321313267e-04	-1.2876944230e-03	6.7505338704e-04	8.7211163826e-05	2.0621082218e-03	2.2341673123e-02	-7.0126089617e-03
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.0569716746e-01	-1.0608717939e+00	1.4918852580e+01	-1.4363677953e+01	-6.6372753229e-01	-2.0333376050e+00	2.5838546284e+01	-2.3141481147e+01	0.0000000000e+00	-1.0608717939e+00	1.0636657096e+01	-9.5757853021e+00	3.6053694864e-04	-3.0008519179e-03	-1.5162725500e-02	3.9860962541e-03	2.7469481801e-04	3.7023681408e-04	-1.3949909510e-03	7.5005931893e-04	8.5733938851e-05	2.2912313576e-03	2.4695274731e-02	-7.7917877352e-03
11	1.100000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.9713142366e-01	-1.1746756266e+00	1.6477589951e+01	-1.5800045748e+01	-6.5248499356e-01	-2.1903714458e+00	2.8298485701e+01	-2.5455629261e+01	0.0000000000e+00	-1.1746756266e+00	1.1708039459e+01	-1.0533363832e+01	3.5442999900e-04	-3.2156638201e-03	-1.6575494282e-02	4.3847058795e-03	2.7004190400e-04	4.0995355334e-04	-1.5050607082e-03	8.2506525083e-04	8.4281735829e-05	2.4512395509e-03	2.6971663478e-02	-8.5709665087e-03
12	1.200000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.8871077059e-01	-1.2951548003e+00	1.8042857574e+01	-1.7236413544e+01	-6.4143288639e-01	-2.3073532401e+00	3.0718563503e+01	-2.7769777376e+01	0.0000000000e+00	-1.2951548003e+00	1.2786097163e+01	-1.1490942363e+01	3.4842649184e-04	-3.3567095086e-03	-1.7935301241e-02	4.7833155049e-03	2.6546780331e-04	4.5199993983e-04	-1.6175389259e-03	9.0007118272e-04	8.2854130926e-05	2.5514594138e-03	2.9181292794e-02	-9.3501452822e-03
13	1.300000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.8043275061e-01	-1.4156658527e+00	1.9608014441e+01	-1.8672781339e+01	-6.3056798518e-01	-2.4241437630e+00	3.3138637239e+01	-3.0083925491e+01	0.0000000000e+00	-1.4156658527e+00	1.3864186745e+01	-1.2448520893e+01	3.4252467500e-04	-3.4974029213e-03	-1.9294956472e-02	5.1819251303e-03	2.6097118095e-04	4.9405745170e-04	-1.7301057473e-03	9.7507711461e-04	8.1450707486e-05	2.6513937533e-03	3.1390880854e-02	-1.0129324056e-02
14	1.400000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.7229494776e-01	-1.5362086998e+00	2.1173062886e+01	-2.0109149134e+01	-6.1988711893e-01	-2.5407435173e+00	3.5558704242e+01	-3.2398073606e+01	0.0000000000e+00	-1.5362086998e+00	1.4942308123e+01	-1.3406099423e+01	3.3672282599e-04	-3.6377449841e-03	-2.0654458921e-02	5.5805347557e-03	2.5655072456e-04	5.3612605974e-04	-1.8427598308e-03	1.0500830465e-03	8.0071055913e-05	2.7510433199e-03	3.3600423776e-02	-1.0908502829e-02
15	1.500000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.5000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.6429498695e-01	-1.6567832581e+00	2.2139518620e+01	-2.0947030348e+01	-6.0938717037e-01	-2.6571530041e+00	3.7380275313e+01	-3.4113735139e+01	0.0000000000e+00	-1.6567832581e+00	1.5621470157e+01	-1.3964686899e+01	3.3101925151e-04	-3.7777366203e-03	-2.1767247919e-02	5.7325847432e-03	2.5220514401e-04	5.7820573477e-04	-1.9242473856e-03	1.0938365068e-03	7.8714773548e-05	2.8504088618e-03	3.5393199590e-02	-1.1270963439e-02
16	1.600000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.5643053336e-01	-1.7773894443e+00	2.1908897311e+01	-2.0587938400e+01	-5.9906507504e-01	-2.7733727237e+00	3.8004861308e+01	-3.4632423509e+01	0.0000000000e+00	-1.7773894443e+00	1.5502681711e+01	-1.3725292266e+01	3.2541228694e-04	-3.9173787510e-03	-2.2386762828e-02	5.3915154551e-03	2.4793317100e-04	6.2029644770e-04	-1.9433146425e-03	1.0750850238e-03	7.7381464550e-05	2.9494911256e-03	3.6352486404e-02	-1.0799987719e-02
