#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	-2.3292556133e+06	-1.3310032076e+06	1.3330556424e-04	-3.8820926888e-04	-2.2183386793e-04	0.0000000000e+00	-2.3292556133e+06	-1.3310032076e+06	1.3330556424e-04	-3.8820926888e-04	-2.2183386793e-04	-6.5356685700e+06	4.5694241160e+06	-8.0248114328e-11	-2.1785561900e-04	7.6157068600e-04	-1.3374685721e-20	-6.5356685700e+06	4.5694241160e+06	-8.0248114328e-11	-2.1785561900e-04	7.6157068600e-04	-1.3374685721e-20	0.0000000000e+00	2.3736443911e+06	-2.8450708939e+06	3.5578934952e-04	3.9560739852e-04	-4.7417848231e-04	0.0000000000e+00	2.3736443911e+06	-2.8450708939e+06	3.5578934952e-04	3.9560739852e-04	-4.7417848231e-04	0.0000000000e+00	2.2021703606e+06	-3.1015238568e+05	5.4488220026e-05	3.6702839343e-04	-5.1692064279e-05	0.0000000000e+00	2.2021703606e+06	-3.1015238568e+05	5.4488220026e-05	3.6702839343e-04	-5.1692064279e-05	-5.5671670846e+06	4.4482600333e+05	-3.6512500087e+06	-1.8557223615e-04	7.4137667222e-05	-6.0854166812e-04	-5.5671670846e+06	4.4482600333e+05	-3.6512500087e+06	-1.8557223615e-04	7.4137667222e-05	-6.0854166812e-04	-4.4116488409e+05	-1.7056057307e+06	3.8128295910e+06	-1.4705496136e-05	-2.8426762178e-04	6.3547159849e-04	-4.4116488409e+05	-1.7056057307e+06	3.8128295910e+06	-1.4705496136e-05	-2.8426762178e-04	6.3547159849e-04
2	2.000000e-02	2.6919655715e+06	-1.5678955223e+06	-8.9594029844e+05	2.6661112849e-04	-7.7641853777e-04	-4.4366773587e-04	2.6919655715e+06	-1.5678955223e+06	-8.9594029844e+05	2.6661112849e-04	-7.7641853777e-04	-4.4366773587e-04	-1.3071337140e+07	9.1388482320e+06	-1.6049622866e-10	-4.3571123800e-04	1.5231413720e-03	-2.6749371443e-20	-1.3071337140e+07	9.1388482320e+06	-1.6049622866e-10	-4.3571123800e-04	1.5231413720e-03	-2.6749371443e-20	2.6542915550e+06	5.9026914572e+05	-7.0750175229e+05	7.1157869905e-04	7.9121479704e-04	-9.4835696462e-04	2.6542915550e+06	5.9026914572e+05	-7.0750175229e+05	7.1157869905e-04	7.9121479704e-04	-9.4835696462e-04	2.3995137713e+06	3.2325874624e+06	-4.5527572766e+05	1.0897644005e-04	7.3405678687e-04	-1.0338412856e-04	2.3995137713e+06	3.2325874624e+06	-4.5527572766e+05	1.0897644005e-04	7.3405678687e-04	-1.0338412856e-04	-1.1134334169e+07	8.8965200666e+05	-7.3025000175e+06	-3.7114447231e-04	1.4827533444e-04	-1.2170833362e-03	-1.1134334169e+07	8.8965200666e+05	-7.3025000175e+06	-3.7114447231e-04	1.4827533444e-04	-1.2170833362e-03	-8.8232976818e+05	-3.2065553085e+06	7.1681565940e+06	-2.9410992273e-05	-5.6853524357e-04	1.2709431970e-03	-8.8232976818e+05	-3.2065553085e+06	7.1681565940e+06	-2.9410992273e-05	-5.6853524357e-04	1.2709431970e-03
3	3.000000e-02	2.6040614381e+06	-1.5166970602e+06	-8.6668403442e+05	3.9991669273e-04	-1.1646278067e-03	-6.6550160380e-04	2.6040614381e+06	-1.5166970602e+06	-8.6668403442e+05	3.9991669273e-04	-1.1646278067e-03	-6.6550160380e-04	-1.9607005710e+07	1.3708272348e+07	-8.6667594017e-11	-6.5356685700e-04	2.2847120580e-03	-1.4444599003e-20	-1.9607005710e+07	1.3708272348e+07	-8.6667594017e-11	-6.5356685700e-04	2.2847120580e-03	-1.4444599003e-20	2.4993703041e+06	5.5581730327e+05	-6.6620747310e+05	1.0673680486e-03	1.1868221956e-03	-1.4225354469e-03	2.4993703041e+06	5.5581730327e+05	-6.6620747310e+05	1.0673680486e-03	1.1868221956e-03	-1.4225354469e-03	2.3581152787e+06	3.1768160599e+06	-4.4742091595e+05	1.6346466008e-04	1.1010851803e-03	-1.5507619284e-04	2.3581152787e+06	3.1768160599e+06	-4.4742091595e+05	1.6346466008e-04	1.1010851803e-03	-1.5507619284e-04	-1.6701501254e+07	1.3344780100e+06	-1.0953750026e+07	-5.5671670846e-04	2.2241300167e-04	-1.8256250044e-03	-1.6701501254e+07	1.3344780100e+06	-1.0953750026e+07	-5.5671670846e-04	2.2241300167e-04	-1.8256250044e-03	-1.3234946523e+06	-3.2784809710e+06	7.3289442188e+06	-4.4116488409e-05	-8.5280286535e-04	1.9064147955e-03	-1.3234946523e+06	-3.2784809710e+06	7.3289442188e+06	-4.4116488409e-05	-8.5280286535e-04	1.9064147955e-03
4	4.000000e-02	2.5190277488e+06	-1.4671704459e+06	-8.3838311194e+05	5.3322225698e-04	-1.5528370755e-03	-8.8733547173e-04	2.5190277488e+06	-1.4671704459e+06	-8.3838311194e+05	5.3322225698e-04	-1.5528370755e-03	-8.8733547173e-04	-2.6142674280e+07	1.7732529535e+07	-3.1141824907e-10	-8.7142247600e-04	3.0462827440e-03	-5.3498742885e-20	-2.6142674280e+07	1.7732529535e+07	-3.1141824907e-10	-8.7142247600e-04	3.0462827440e-03	-5.3498742885e-20	2.3534912376e+06	5.2337628835e+05	-6.2732338933e+05	1.4231573981e-03	1.5824295941e-03	-1.8967139292e-03	2.3534912376e+06	5.2337628835e+05	-6.2732338933e+05	1.4231573981e-03	1.5824295941e-03	-1.8967139292e-03	2.3174310287e+06	3.1220068740e+06	-4.3970162227e+05	2.1795288011e-04	1.4681135737e-03	-2.0676825712e-04	2.3174310287e+06	3.1220068740e+06	-4.3970162227e+05	2.1795288011e-04	1.4681135737e-03	-2.0676825712e-04	-2.2268668338e+07	1.7793040133e+06	-1.4605000035e+07	-7.4228894462e-04	2.9655066889e-04	-2.4341666725e-03	-2.2268668338e+07	1.7793040133e+06	-1.4605000035e+07	-7.4228894462e-04	2.9655066889e-04	-2.4341666725e-03	-1.7646595364e+06	-3.3503537678e+06	7.4896136641e+06	-5.8821984545e-05	-1.1370704871e-03	2.5418863940e-03	-1.7646595364e+06	-3.3503537678e+06	7.4896136641e+06	-5.8821984545e-05	-1.1370704871e-03	2.5418863940e-03
5	5.000000e-02	2.4367707714e+06	-1.4192610863e+06	-8.1100633504e+05	6.6652782122e-04	-1.9410463444e-03	-1.1091693397e-03	2.4367707714e+06	-1.4192610863e+06	-8.1100633504e+05	6.6652782122e-04	-1.9410463444e-03	-1.1091693397e-03	-3.2678342850e+07	2.0221754357e+07	-2.3094010343e-10	-1.0892780950e-03	3.8078534300e-03	-4.4045162748e-20	-3.2678342850e+07	2.0221754357e+07	-2.3094010343e-10	-1.0892780950e-03	3.8078534300e-03	-4.4045162748e-20	2.2161265965e+06	4.9282873633e+05	-5.9070882675e+05	1.7789467476e-03	1.9780369926e-03	-2.3708924115e-03	2.2161265965e+06	4.9282873633e+05	-5.9070882675e+05	1.7789467476e-03	1.9780369926e-03	-2.3708924115e-03	2.2774486987e+06	3.0681433037e+06	-4.3211550853e+05	2.7244110013e-04	1.8351419672e-03	-2.5846032140e-04	2.2774486987e+06	3.0681433037e+06	-4.3211550853e+05	2.7244110013e-04	1.8351419672e-03	-2.5846032140e-04	-2.7835835423e+07	2.2227722044e+06	-1.8245104760e+07	-9.2786118077e-04	3.7068833611e-04	-3.0427083406e-03	-2.7835835423e+07	2.2227722044e+06	-1.8245104760e+07	-9.2786118077e-04	3.7068833611e-04	-3.0427083406e-03	-2.2058244205e+06	-3.4221737378e+06	7.6501650165e+06	-7.3527480682e-05	-1.4213381089e-03	3.1773579925e-03	-2.2058244205e+06	-3.4221737378e+06	7.6501650165e+06	-7.3527480682e-05	-1.4213381089e-03	3.1773579925e-03
6	6.000000e-02	2.3571998344e+06	-1.3729161712e+06	-7.8452352642e+05	7.9983338547e-04	-2.3292556133e-03	-1.3310032076e-03	2.3571998344e+06	-1.3729161712e+06	-7.8452352642e+05	7.9983338547e-04	-2.3292556133e-03	-1.3310032076e-03	-3.9214011420e+07	2.2684011740e+07	-1.2810441941e-10	-1.3071337140e-03	4.5694241160e-03	-2.8889198006e-20	-3.9214011420e+07	2.2684011740e+07	-1.2810441941e-10	-1.3071337140e-03	4.5694241160e-03	-2.8889198006e-20	2.0867794251e+06	4.6406413276e+05	-5.5623132173e+05	2.1347360971e-03	2.3736443911e-03	-2.8450708939e-03	2.0867794251e+06	4.6406413276e+05	-5.5623132173e+05	2.1347360971e-03	2.3736443911e-03	-2.8450708939e-03	2.2381561786e+06	3.0152090345e+06	-4.2466027701e+05	3.2692932016e-04	2.2021703606e-03	-3.1015238568e-04	2.2381561786e+06	3.0152090345e+06	-4.2466027701e+05	3.2692932016e-04	2.2021703606e-03	-3.1015238568e-04	-3.3403002508e+07	2.4786791512e+06	-2.0345656964e+07	-1.1134334169e-03	4.4482600333e-04	-3.6512500087e-03	-3.3403002508e+07	2.4786791512e+06	-2.0345656964e+07	-1.1134334169e-03	4.4482600333e-04	-3.6512500087e-03	-2.6469893045e+06	-3.4939409198e+06	7.8105983629e+06	-8.8232976818e-05	-1.7056057307e-03	3.8128295910e-03	-2.6469893045e+06	-3.4939409198e+06	7.8105983629e+06	-8.8232976818e-05	-1.7056057307e-03	3.8128295910e-03
7	7.000000e-02	2.2802272272e+06	-1.3280846149e+06	-7.5890549421e+05	9.3313894971e-04	-2.7174648822e-03	-1.5528370755e-03	2.2802272272e+06	-1.3280846149e+06	-7.5890549421e+05	9.3313894971e-04	-2.7174648822e-03	-1.5528370755e-03	-4.5749679990e+07	2.5119593841e+07	-6.5793921684e-11	-1.5249893330e-03	5.3309948020e-03	-1.9435617868e-20	-4.5749679990e+07	2.5119593841e+07	-6.5793921684e-11	-1.5249893330e-03	5.3309948020e-03	-1.9435617868e-20	1.9649817731e+06	4.3697841346e+05	-5.2376614207e+05	2.4905254467e-03	2.7692517896e-03	-3.3192493762e-03	1.9649817731e+06	4.3697841346e+05	-5.2376614207e+05	2.4905254467e-03	2.7692517896e-03	-3.3192493762e-03	2.1995415670e+06	2.9631880331e+06	-4.1733366960e+05	3.8141754018e-04	2.5691987540e-03	-3.6184444996e-04	2.1995415670e+06	2.9631880331e+06	-4.1733366960e+05	3.8141754018e-04	2.5691987540e-03	-3.6184444996e-04	-3.8970169592e+07	2.7322226187e+06	-2.2426809102e+07	-1.2990056531e-03	5.1896367055e-04	-4.2597916769e-03	-3.8970169592e+07	2.7322226187e+06	-2.2426809102e+07	-1.2990056531e-03	5.1896367055e-04	-4.2597916769e-03	-3.0881541886e+06	-3.5656553526e+06	7.9709137902e+06	-1.0293847295e-04	-1.9898733525e-03	4.4483011894e-03	-3.0881541886e+06	-3.5656553526e+06	7.9709137902e+06	-1.0293847295e-04	-1.9898733525e-03	4.4483011894e-03
8	8.000000e-02	2.2057681032e+06	-1.2847169996e+06	-7.3412399979e+05	1.0664445140e-03	-3.1056741511e-03	-1.7746709435e-03	2.2057681032e+06	-1.2847169996e+06	-7.3412399979e+05	1.0664445140e-03	-3.1056741511e-03	-1.7746709435e-03	-5.2285348560e+07	2.7528789650e+07	-5.4815085198e-10	-1.7428449520e-03	6.0925654880e-03	-1.0699748577e-19	-5.2285348560e+07	2.7528789650e+07	-5.4815085198e-10	-1.7428449520e-03	6.0925654880e-03	-1.0699748577e-19	1.8502930028e+06	4.1147358814e+05	-4.9319583573e+05	2.8463147962e-03	3.1648591881e-03	-3.7934278585e-03	1.8502930028e+06	4.1147358814e+05	-4.9319583573e+05	2.8463147962e-03	3.1648591881e-03	-3.7934278585e-03	2.1615931683e+06	2.9120645432e+06	-4.1013346719e+05	4.3590576021e-04	2.9362271475e-03	-4.1353651424e-04	2.1615931683e+06	2.9120645432e+06	-4.1013346719e+05	4.3590576021e-04	2.9362271475e-03	-4.1353651424e-04	-4.4537336677e+07	2.9834244352e+06	-2.4488740347e+07	-1.4845778892e-03	5.9310133777e-04	-4.8683333450e-03	-4.4537336677e+07	2.9834244352e+06	-2.4488740347e+07	-1.4845778892e-03	5.9310133777e-04	-4.8683333450e-03	-3.5293190727e+06	-3.6373170749e+06	8.1311113848e+06	-1.1764396909e-04	-2.2741409743e-03	5.0837727879e-03	-3.5293190727e+06	-3.6373170749e+06	8.1311113848e+06	-1.1764396909e-04	-2.2741409743e-03	5.0837727879e-03
9	9.000000e-02	2.1337403865e+06	-1.2427655216e+06	-7.1015172664e+05	1.1997500782e-03	-3.4938834200e-03	-1.9965048114e-03	2.1337403865e+06	-1.2427655216e+06	-7.1015172664e+05	1.1997500782e-03	-3.4938834200e-03	-1.9965048114e-03	-5.8821017130e+07	2.9911885029e+07	2.1202327677e-10	-1.9607005710e-03	6.8541361740e-03	2.2281080824e-20	-5.8821017130e+07	2.9911885029e+07	2.1202327677e-10	-1.9607005710e-03	6.8541361740e-03	2.2281080824e-20	1.7422981949e+06	3.8745738581e+05	-4.6440980591e+05	3.2021041457e-03	3.5604665867e-03	-4.2676063408e-03	1.7422981949e+06	3.8745738581e+05	-4.6440980591e+05	3.2021041457e-03	3.5604665867e-03	-4.2676063408e-03	2.1242994882e+06	2.8618230801e+06	-4.0305748891e+05	4.9039398024e-04	3.3032555409e-03	-4.6522857852e-04	2.1242994882e+06	2.8618230801e+06	-4.0305748891e+05	4.9039398024e-04	3.3032555409e-03	-4.6522857852e-04	-5.0104503762e+07	3.2323062275e+06	-2.6531628217e+07	-1.6701501254e-03	6.6723900500e-04	-5.4768750131e-03	-5.0104503762e+07	3.2323062275e+06	-2.6531628217e+07	-1.6701501254e-03	6.6723900500e-04	-5.4768750131e-03	-3.9704839568e+06	-3.7089261255e+06	8.2911912335e+06	-1.3234946523e-04	-2.5584085960e-03	5.7192443864e-03	-3.9704839568e+06	-3.7089261255e+06	8.2911912335e+06	-1.3234946523e-04	-2.5584085960e-03	5.7192443864e-03
10	1.000000e-01	2.0640646813e+06	-1.2021839379e+06	-6.8696225024e+05	1.3330556424e-03	-3.8820926888e-03	-2.2183386793e-03	2.0640646813e+06	-1.2021839379e+06	-6.8696225024e+05	1.3330556424e-03	-3.8820926888e-03	-2.2183386793e-03	-6.5356685700e+07	3.2269162739e+07	-3.5728369355e-10	-2.1785561900e-03	7.6157068600e-03	-7.6685556287e-20	-6.5356685700e+07	3.2269162739e+07	-3.5728369355e-10	-2.1785561900e-03	7.6157068600e-03	-7.6685556287e-20	1.6406066473e+06	3.6484292102e+05	-4.3730391094e+05	3.5578934952e-03	3.9560739852e-03	-4.7417848231e-03	1.6406066473e+06	3.6484292102e+05	-4.3730391094e+05	3.5578934952e-03	3.9560739852e-03	-4.7417848231e-03	2.0876492311e+06	2.8124484263e+06	-3.9610359154e+05	5.4488220026e-04	3.6702839343e-03	-5.1692064279e-04	2.0876492311e+06	2.8124484263e+06	-3.9610359154e+05	5.4488220026e-04	3.6702839343e-03	-5.1692064279e-04	-5.5671670846e+07	3.4788894227e+06	-2.8555648590e+07	-1.8557223615e-03	7.4137667222e-04	-6.0854166812e-03	-5.5671670846e+07	3.4788894227e+06	-2.8555648590e+07	-1.8557223615e-03	7.4137667222e-04	-6.0854166812e-03	-4.4116488409e+06	-3.7804825432e+06	8.4511534228e+06	-1.4705496136e-04	-2.8426762178e-03	6.3547159849e-03	-4.4116488409e+06	-3.7804825432e+06	8.4511534228e+06	-1.4705496136e-04	-2.8426762178e-03	6.3547159849e-03
