#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1536109062e-01	-5.2964298098e+00	-3.3111999785e-02	5.4449029002e+00	-1.0773090375e+00	1.1206427553e+01	-8.8563524682e-01	-9.2434832689e+00	-1.1714017727e-02	-8.5776053879e+00	2.3725537660e-01	8.3520640291e+00	1.2826770070e-03	1.9614750970e-02	1.1921940693e-03	-1.6701703200e-03	-1.3152982533e-04	-1.0683646956e-03	-4.2962483329e-04	-1.1542422721e-03	6.2462252477e-05	-1.3204905897e-02	-1.3940174419e-03	-1.3437350912e-04
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0819167833e-01	-1.1055512375e+01	-5.4850212311e-03	1.1169189074e+01	-1.0117792086e+00	1.8922929485e+01	-8.7671669433e-01	-1.7034433582e+01	-1.0274861041e-02	-1.7113703322e+01	2.6625434137e-01	1.6857723842e+01	1.2048636047e-03	3.3306533970e-02	1.1901272814e-03	-4.1451898551e-03	-1.2333385535e-04	-1.2739019525e-03	-4.4404074662e-04	-2.2364493216e-03	5.9149464884e-05	-2.2634248942e-02	-1.3908811039e-03	5.2476799267e-04
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0147398460e-01	-1.7090883104e+01	2.2070574200e-02	1.7170286514e+01	-9.5029465009e-01	2.5236903103e+01	-8.6830655053e-01	-2.3418301903e+01	-8.9681431472e-03	-2.5793883083e+01	2.9530552333e-01	2.5507545703e+01	1.1318412546e-03	4.4891736763e-02	1.1887564174e-03	-7.3918465706e-03	-1.1565555851e-04	-1.2091078733e-03	-4.5863136511e-04	-3.2525093879e-03	5.6011984189e-05	-3.0666190015e-02	-1.3884996143e-03	2.0312941487e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.5179186727e-02	-2.3155354460e+01	4.9557360887e-02	2.3200976286e+01	-8.9260208442e-01	3.1404314395e+01	-8.6038604561e-01	-2.9651326264e+01	-7.7829944639e-03	-3.4489508196e+01	3.2440688522e-01	3.4172884305e+01	1.0633107244e-03	5.6257873723e-02	1.1880558131e-03	-1.0721333101e-02	-1.0846182991e-04	-1.1163955387e-03	-4.7339013747e-04	-4.2614295194e-03	5.3040560445e-05	-3.8550852612e-02	-1.3868450402e-03	3.6276070355e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.9280322027e-02	-2.9247864893e+01	7.6977820487e-02	2.9260167394e+01	-8.3846430222e-01	3.7430453846e+01	-8.5293708615e-01	-3.5739052457e+01	-6.7093852272e-03	-4.3200018525e+01	3.5355646332e-01	4.2853171447e+01	9.9899172235e-04	6.7412831434e-02	1.1880007291e-03	-1.4130608144e-02	-1.0172170524e-04	-9.9678700608e-04	-4.8831074858e-04	-5.2634704316e-03	5.0226429916e-05	-4.6293530845e-02	-1.3858904553e-03	5.3103669836e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.3752166615e-02	-3.1539918877e+01	1.0433434528e-01	3.1519336698e+01	-7.8765913060e-01	3.9597283860e+01	-8.4594223082e-01	-3.7963682499e+01	-5.7380629284e-03	-4.6437039728e+01	3.8275236477e-01	4.6060025426e+01	9.3862168358e-04	7.1346247072e-02	1.1885673176e-03	-1.5301134435e-02	-9.5406221019e-05	-1.2312695335e-03	-5.0338711102e-04	-5.3020743722e-03	4.7561289640e-05	-4.9260744453e-02	-1.3856099038e-03	6.1087457499e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.8571122140e-02	-3.1572394817e+01	1.3162924137e-01	3.1519336698e+01	-7.3997846848e-01	3.9543045634e+01	-8.3938466685e-01	-3.7963682499e+01	-4.8604943035e-03	-4.6467157697e+01	4.1199276503e-01	4.6060025426e+01	8.8195463509e-04	7.1269590923e-02	1.1897325901e-03	-1.5301134435e-02	-8.9488284063e-05	-1.2131321723e-03	-5.1861335684e-04	-5.3020743722e-03	4.5037273327e-05	-4.9225565084e-02	-1.3859783654e-03	6.1087457499e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.3715109963e-02	-3.1604486320e+01	1.5886473183e-01	3.1519336698e+01	-6.9522738448e-01	3.9492158071e+01	-8.3324818742e-01	-3.7963682499e+01	-4.0688115457e-03	-4.6497232520e+01	4.4127590540e-01	4.6060025426e+01	8.2876013434e-04	7.1198851602e-02	1.1914743869e-03	-1.5301134435e-02	-8.3942549498e-05	-1.1956740300e-03	-5.3398382966e-04	-5.3020743722e-03	4.2646928504e-05	-4.9193540369e-02	-1.3869717216e-03	6.1087457499e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.9163472287e-02	-3.1636216186e+01	1.8604295964e-01	3.1519336698e+01	-6.5322327318e-01	3.9444422942e+01	-8.2751716982e-01	-3.7963682499e+01	-3.3557624421e-03	-4.6527269754e+01	4.7060009069e-01	4.6060025426e+01	7.7882227635e-04	7.1133680872e-02	1.1937713465e-03	-1.5301134435e-02	-7.8745306823e-05	-1.1788580338e-03	-5.4949307706e-04	-5.3020743722e-03	4.0383194849e-05	-4.9164490154e-02	-1.3885667232e-03	6.1087457499e-03
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.4896879771e-02	-3.1667605809e+01	2.1316599060e-01	3.1519336698e+01	-6.1379506618e-01	3.9399654119e+01	-8.2217655443e-01	-3.7963682499e+01	-2.7146641511e-03	-4.6557274449e+01	4.9996368688e-01	4.6060025426e+01	7.3193876511e-04	7.1073751629e-02	1.1966028778e-03	-1.5301134435e-02	-7.3874373449e-05	-1.1626492174e-03	-5.6513584323e-04	-5.3020743722e-03	3.8239383653e-05	-4.9138244974e-02	-1.3907409589e-03	6.1087457499e-03
