#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8464188165e+06	-9.8602840198e+05	9.9603909935e+05	3.1752644812e-04	-5.4997194091e-04	5.5555555559e-04	2.8363371423e+06	-9.8253600760e+05	1.3895157477e+06	1.3608276346e-04	-2.3570226036e-04	3.3333333333e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.5257934437e+06	3.2998316455e+06	3.3333333336e+06	-3.1752644812e-04	5.4997194091e-04	5.5555555559e-04	-4.0824829039e+06	1.4142135621e+06	2.0000000000e+06	-1.3608276346e-04	2.3570226036e-04	3.3333333333e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4342579262e+06	3.4425605738e+05	3.1645353036e+06	1.8144368469e-04	1.2830005985e-04	1.1793839503e-03	-5.4433105406e+06	-7.6980035911e+05	7.0763037017e+06	-1.8144368469e-04	-1.2830005985e-04	1.1793839503e-03
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7824107526e+06	-9.6385535821e+05	9.7364094277e+05	6.3505289625e-04	-1.0999438818e-03	1.1111111112e-03	2.8091427775e+06	-9.7311560328e+05	1.3761932841e+06	2.7216552693e-04	-4.7140452071e-04	6.6666666666e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.9051586887e+07	6.5996632909e+06	6.6666666671e+06	-6.3505289625e-04	1.0999438818e-03	1.1111111112e-03	-8.1649658078e+06	2.8284271243e+06	3.9999999999e+06	-2.7216552693e-04	4.7140452071e-04	6.6666666666e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4027004496e+06	3.3979315623e+05	3.1235105840e+06	3.6288736937e-04	2.5660011970e-04	2.3587679006e-03	-1.0886621081e+07	-1.2778051695e+06	1.1746081103e+07	-3.6288736937e-04	-2.5660011970e-04	2.3587679006e-03
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7198420524e+06	-9.4218092470e+05	9.5174645860e+05	9.5257934437e-04	-1.6499158227e-03	1.6666666668e-03	2.7822091481e+06	-9.6378552036e+05	1.3629985543e+06	4.0824829039e-04	-7.0710678107e-04	9.9999999999e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.8577380331e+07	9.8994949364e+06	1.0000000001e+07	-9.5257934437e-04	1.6499158227e-03	1.6666666668e-03	-1.2247448712e+07	4.2426406864e+06	5.9999999999e+06	-4.0824829039e-04	7.0710678107e-04	9.9999999999e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3715520809e+06	3.3538811168e+05	3.0830177047e+06	5.4433105406e-04	3.8490017956e-04	3.5381518509e-03	-1.6329931622e+07	-1.5079978638e+06	1.3862101698e+07	-5.4433105406e-04	-3.8490017956e-04	3.5381518509e-03
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6586803488e+06	-9.2099388907e+05	9.3034432065e+05	1.2701057925e-03	-2.1998877636e-03	2.2222222224e-03	2.7555337541e+06	-9.5454489284e+05	1.3499303336e+06	5.4433105385e-04	-9.4280904143e-04	1.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.8103173775e+07	1.3199326582e+07	1.3333333334e+07	-1.2701057925e-03	2.1998877636e-03	2.2222222224e-03	-1.6329931616e+07	5.6568542486e+06	7.9999999999e+06	-5.4433105385e-04	9.4280904143e-04	1.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3408075165e+06	3.3104017369e+05	3.0430497710e+06	7.2577473875e-04	5.1320023941e-04	4.7175358011e-03	-2.1773242162e+07	-1.7361116518e+06	1.5959012181e+07	-7.2577473875e-04	-5.1320023941e-04	4.7175358011e-03
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5988940023e+06	-9.0028329111e+05	9.0942345742e+05	1.5876322406e-03	-2.7498597045e-03	2.7777777780e-03	2.7291141198e+06	-9.4539286304e+05	1.3369874089e+06	6.8041381731e-04	-1.1785113018e-03	1.6666666666e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-4.7628967219e+07	1.6499158227e+07	1.6666666668e+07	-1.5876322406e-03	2.7498597045e-03	2.7777777780e-03	-2.0412414519e+07	7.0710678107e+06	9.9999999999e+06	-6.8041381731e-04	1.1785113018e-03	1.6666666666e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3104615216e+06	3.2674860194e+05	3.0035999777e+06	9.0721842343e-04	6.4150029926e-04	5.8969197514e-03	-2.7216552703e+07	-1.9621653086e+06	1.8036985139e+07	-9.0721842343e-04	-6.4150029926e-04	5.8969197514e-03
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5404520849e+06	-8.8003841705e+05	8.8897304637e+05	1.9051586887e-03	-3.2998316455e-03	3.3333333336e-03	2.7029477928e+06	-9.3632858149e+05	1.3241685790e+06	8.1649658078e-04	-1.4142135621e-03	2.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-5.7154760662e+07	1.9798989873e+07	2.0000000001e+07	-1.9051586887e-03	3.2998316455e-03	3.3333333336e-03	-2.4494897423e+07	8.4852813728e+06	1.2000000000e+07	-8.1649658078e-04	1.4142135621e-03	2.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2805089292e+06	3.2251266570e+05	2.9646616075e+06	1.0886621081e-03	7.6980035911e-04	7.0763037017e-03	-3.2659863244e+07	-2.1861774396e+06	2.0096191597e+07	-1.0886621081e-03	-7.6980035911e-04	7.0763037017e-03
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4833243640e+06	-8.6024879405e+05	8.6898250834e+05	2.2226851369e-03	-3.8498035864e-03	3.8888888891e-03	2.6770323446e+06	-9.2735120688e+05	1.3114726541e+06	9.5257934424e-04	-1.6499158225e-03	2.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-6.6680554106e+07	2.3035943417e+07	2.3269816861e+07	-2.2226851369e-03	3.8498035864e-03	3.8888888891e-03	-2.8577380327e+07	9.8994949350e+06	1.4000000000e+07	-9.5257934424e-04	1.6499158225e-03	2.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2509446392e+06	3.1833164370e+05	2.9262280305e+06	1.2701057928e-03	8.9810041897e-04	8.2556876520e-03	-3.8103173784e+07	-2.4081664820e+06	2.2136801041e+07	-1.2701057928e-03	-8.9810041897e-04	8.2556876520e-03
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4274812872e+06	-8.4090418479e+05	8.4944150207e+05	2.5402115850e-03	-4.3997755273e-03	4.4444444447e-03	2.6513653697e+06	-9.1845990596e+05	1.2988984557e+06	1.0886621077e-03	-1.8856180829e-03	2.6666666666e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.6206347550e+07	2.5415706160e+07	2.5673740252e+07	-2.5402115850e-03	4.3997755273e-03	4.4444444447e-03	-3.2659863231e+07	1.1313708497e+07	1.6000000000e+07	-1.0886621077e-03	1.8856180829e-03	2.6666666666e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2217636177e+06	3.1420482406e+05	2.8882927025e+06	1.4515494775e-03	1.0264004788e-03	9.4350716023e-03	-4.3546484325e+07	-2.6281507067e+06	2.4158981422e+07	-1.4515494775e-03	-1.0264004788e-03	9.4350716023e-03
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3728939663e+06	-8.2199458213e+05	8.3033991882e+05	2.8577380331e-03	-4.9497474682e-03	5.0000000003e-03	2.6259444858e+06	-9.0965385347e+05	1.2864448168e+06	1.2247448712e-03	-2.1213203432e-03	3.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-8.5732140994e+07	2.7757985361e+07	2.8039799546e+07	-2.8577380331e-03	4.9497474682e-03	5.0000000003e-03	-3.6742346135e+07	1.2560823865e+07	1.7763687467e+07	-1.2247448712e-03	2.1213203432e-03	3.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1929608960e+06	3.1013150410e+05	2.8508491644e+06	1.6329931622e-03	1.1547005387e-03	1.0614455553e-02	-4.8989794865e+07	-2.8461482196e+06	2.6162899177e+07	-1.6329931622e-03	-1.1547005387e-03	1.0614455553e-02
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3195341628e+06	-8.0351020398e+05	8.1166787720e+05	3.1752644812e-03	-5.4997194091e-03	5.5555555559e-03	2.6007673334e+06	-9.0093223205e+05	1.2741105815e+06	1.3608276346e-03	-2.3570226036e-03	3.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.5257934437e+07	3.0063371420e+07	3.0368591141e+07	-3.1752644812e-03	5.4997194091e-03	5.5555555559e-03	-4.0824829039e+07	1.3444619962e+07	1.9013563894e+07	-1.3608276346e-03	2.3570226036e-03	3.3333333333e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1645315699e+06	3.0611099025e+05	2.8138910405e+06	1.8144368469e-03	1.2830005985e-03	1.1793839503e-02	-5.4433105406e+07	-3.0621769628e+06	2.8148719237e+07	-1.8144368469e-03	-1.2830005985e-03	1.1793839503e-02
