#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	-8.1649658100e-07	8.1649658100e-07	0.0000000000e+00	0.0000000000e+00	-4.7140452100e-07	-4.7140452100e-07	9.4280904150e-07	0.0000000000e+00	-3.3333333350e-07	-3.3333333350e-07	-3.3333333350e-07	1.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.1259315707e-01	3.1259315707e-01	0.0000000000e+00	-5.2041704279e-18	-1.8047574339e-01	-1.8047574339e-01	3.6095148677e-01	3.4823394168e-12	-1.2761562200e-01	-1.2761562200e-01	-1.2761562201e-01	3.8284686602e-01	-1.9672081855e-15	-1.9672081855e-15	4.8108464437e-15	6.9384017778e-15	2.7255190902e-15	-2.7255216313e-15	-3.8116482626e-21	8.8938459462e-21	4.6469995668e-16	-4.6469010992e-16	-9.5291206566e-21	9.5291206566e-22
2	2.000000e-02	-1.6329931620e-06	1.6329931620e-06	0.0000000000e+00	0.0000000000e+00	-9.4280904200e-07	-9.4280904200e-07	1.8856180830e-06	0.0000000000e+00	-6.6666666700e-07	-6.6666666700e-07	-6.6666666700e-07	2.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.7416727641e-01	2.7416727641e-01	-5.2041704279e-18	5.2041704279e-18	-1.5829055085e-01	-1.5829055085e-01	3.1658110169e-01	2.1164112129e-12	-1.1192832191e-01	-1.1192832191e-01	-1.1192832192e-01	3.3578496575e-01	-1.6398543036e-15	-1.6398543036e-15	4.3674551890e-15	5.7664292043e-15	2.2412059798e-15	-2.2412059798e-15	-4.4469229731e-21	6.3527471044e-21	4.0917059424e-16	-4.0916138275e-16	-9.8467580118e-21	6.3527471044e-22
3	3.000000e-02	-2.4494897430e-06	2.4494897430e-06	0.0000000000e+00	0.0000000000e+00	-1.4142135630e-06	-1.4142135630e-06	2.8284271245e-06	0.0000000000e+00	-1.0000000005e-06	-1.0000000005e-06	-1.0000000005e-06	3.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.4046494223e-01	2.4046494223e-01	0.0000000000e+00	0.0000000000e+00	-1.3883249913e-01	-1.3883249913e-01	2.7766499827e-01	1.0336939638e-12	-9.8169401596e-02	-9.8169401596e-02	-9.8169401605e-02	2.9450820480e-01	-1.3632588710e-15	-1.3632588710e-15	3.9603838601e-15	4.7777486313e-15	1.8347724666e-15	-1.8347750077e-15	-3.1763735522e-21	5.7174723940e-21	3.6027858197e-16	-3.6026937049e-16	-6.6703844596e-21	6.3527471044e-22
4	4.000000e-02	-3.2659863240e-06	3.2659863240e-06	0.0000000000e+00	0.0000000000e+00	-1.8856180840e-06	-1.8856180840e-06	3.7712361660e-06	0.0000000000e+00	-1.3333333340e-06	-1.3333333340e-06	-1.3333333340e-06	4.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.1090550703e-01	2.1090550703e-01	0.0000000000e+00	0.0000000000e+00	-1.2176635126e-01	-1.2176635126e-01	2.4353270252e-01	1.8518520051e-13	-8.6101812705e-02	-8.6101812705e-02	-8.6101812714e-02	2.5830543812e-01	-1.1298767301e-15	-1.1298767301e-15	3.5873962899e-15	3.9449924244e-15	1.4943922768e-15	-1.4943960884e-15	-2.2234614865e-21	5.3998350387e-21	3.1722061501e-16	-3.1721553281e-16	-9.2114833014e-21	6.3527471044e-22
5	5.000000e-02	-4.0824829050e-06	4.0824829050e-06	0.0000000000e+00	0.0000000000e+00	-2.3570226050e-06	-2.3570226050e-06	4.7140452075e-06	0.0000000000e+00	-1.6666666675e-06	-1.6666666675e-06	-1.6666666675e-06	5.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.8497970008e-01	1.8497970008e-01	2.6020852140e-18	-2.6020852140e-18	-1.0679807964e-01	-1.0679807964e-01	2.1359615929e-01	-4.7035292328e-13	-7.5517646339e-02	-7.5517646339e-02	-7.5517646348e-02	2.2655293903e-01	-9.3327604200e-16	-9.3327604200e-16	3.2462588525e-15	3.2447773919e-15	1.2099721656e-15	-1.2099721656e-15	-1.9058241313e-21	4.7645603283e-21	2.7930869084e-16	-2.7930265573e-16	-6.6703844596e-21	9.5291206566e-22
6	6.000000e-02	-4.8989794860e-06	4.8989794860e-06	0.0000000000e+00	0.0000000000e+00	-2.8284271260e-06	-2.8284271260e-06	5.6568542490e-06	0.0000000000e+00	-2.0000000010e-06	-2.0000000010e-06	-2.0000000010e-06	6.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.6224085338e-01	1.6224085338e-01	2.6020852140e-18	0.0000000000e+00	-9.3669800377e-02	-9.3669800377e-02	1.8733960076e-01	-9.6750212009e-13	-6.6234551044e-02	-6.6234551044e-02	-6.6234551052e-02	1.9870365314e-01	-7.6793690476e-16	-7.6793690476e-16	2.9347874737e-15	2.6571076272e-15	9.7289907860e-16	-9.7290034915e-16	-2.2234614865e-21	2.2234614865e-21	2.4591881088e-16	-2.4591309341e-16	-6.1939284268e-21	4.7645603283e-22
7	7.000000e-02	-5.7154760670e-06	5.7154760670e-06	0.0000000000e+00	0.0000000000e+00	-3.2998316470e-06	-3.2998316470e-06	6.5996632905e-06	0.0000000000e+00	-2.3333333345e-06	-2.3333333345e-06	-2.3333333345e-06	7.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.4229720609e-01	1.4229720609e-01	0.0000000000e+00	2.6020852140e-18	-8.2155330246e-02	-8.2155330246e-02	1.6431066049e-01	-1.3353432943e-12	-5.8092591132e-02	-5.8092591132e-02	-5.8092591140e-02	1.7427777340e-01	-6.2914240366e-16	-6.2914240366e-16	2.6508361952e-15	2.1648751822e-15	7.7582288738e-16	-7.7582542848e-16	-2.2234614865e-21	3.1763735522e-21	2.1652052074e-16	-2.1651591500e-16	-4.7645603283e-21	4.7645603283e-22
8	8.000000e-02	-6.5319726480e-06	6.5319726480e-06	0.0000000000e+00	0.0000000000e+00	-3.7712361680e-06	-3.7712361680e-06	7.5424723320e-06	0.0000000000e+00	-2.6666666680e-06	-2.6666666680e-06	-2.6666666680e-06	8.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2480515505e-01	1.2480515505e-01	-2.6020852140e-18	0.0000000000e+00	-7.2056289868e-02	-7.2056289868e-02	1.4411257974e-01	-1.5981070633e-12	-5.0951491196e-02	-5.0951491196e-02	-5.0951491204e-02	1.5285447360e-01	-5.1287029687e-16	-5.1287029687e-16	2.3923479978e-15	1.7535182900e-15	6.1250265317e-16	-6.1250392372e-16	-1.9058241313e-21	4.1292856179e-21	1.9063212338e-16	-1.9062783527e-16	-3.3351922298e-21	4.7645603283e-22
9	9.000000e-02	-7.3484692290e-06	7.3484692290e-06	0.0000000000e+00	0.0000000000e+00	-4.2426406890e-06	-4.2426406890e-06	8.4852813735e-06	0.0000000000e+00	-3.0000000015e-06	-3.0000000015e-06	-3.0000000015e-06	9.0000000000e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.0946333491e-01	1.0946333491e-01	0.0000000000e+00	-2.6020852140e-18	-6.3198685880e-02	-6.3198685880e-02	1.2639737176e-01	-1.7761001003e-12	-4.4688219350e-02	-4.4688219350e-02	-4.4688219358e-02	1.3406465806e-01	-4.1567421908e-16	-4.1567421908e-16	2.1573535296e-15	1.4105773078e-15	4.7760715061e-16	-4.7760905643e-16	-1.4293680985e-21	3.1763735522e-21	1.6783767267e-16	-1.6783386103e-16	-3.9704669403e-21	4.7645603283e-22
10	1.000000e-01	-8.1649658100e-06	8.1649658100e-06	0.0000000000e+00	0.0000000000e+00	-4.7140452100e-06	-4.7140452100e-06	9.4280904150e-06	0.0000000000e+00	-3.3333333350e-06	-3.3333333350e-06	-3.3333333350e-06	1.0000000000e-05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-9.6007426013e-02	9.6007426013e-02	-2.6020852140e-18	-2.6020852140e-18	-5.5429913256e-02	-5.5429913256e-02	1.1085982651e-01	-1.8861839174e-12	-3.9194867546e-02	-3.9194867546e-02	-3.9194867553e-02	1.1758460264e-01	-3.3462571271e-16	-3.3462571271e-16	1.9439850832e-15	1.1254488654e-15	3.6662402342e-16	-3.6662465869e-16	-9.5291206566e-22	1.7470054537e-21	1.4776727993e-16	-1.4776489765e-16	-3.3351922298e-21	3.1763735522e-22
