#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	-3.8103173776e+06	3.0792014357e+06	0.0000000000e+00	-6.3505289627e-04	5.1320023928e-04	0.0000000000e+00	-1.6329931616e+06	4.6188021536e+06	0.0000000000e+00	-2.7216552693e-04	7.6980035893e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.7766421623e+06	3.2061901997e+05	1.4898209468e+06	5.4997194092e-04	3.1752644814e-04	1.4754506880e-03	2.5171749264e+06	2.9065832428e+05	2.8773706100e+06	2.3570226036e-04	1.3608276347e-04	1.3471506281e-03	-1.6499158229e+07	6.1282587705e+06	6.6666666669e+06	-5.4997194097e-04	1.0213764618e-03	1.1111111112e-03	-7.0710678118e+06	6.1282587705e+06	5.3333333334e+06	-2.3570226039e-04	1.0213764618e-03	8.8888888890e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	2.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-1.2701057925e-03	1.0264004786e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-5.4433105387e-04	1.5396007179e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6700963782e+06	3.0831617255e+05	1.4326532847e+06	1.0999438818e-03	6.3505289627e-04	2.9509013760e-03	2.4754172852e+06	2.8583656719e+05	2.8296376501e+06	4.7140452072e-04	2.7216552694e-04	2.6943012563e-03	-3.2998316458e+07	1.2256517541e+07	1.3333333334e+07	-1.0999438819e-03	2.0427529235e-03	2.2222222223e-03	-1.4142135624e+07	9.8763584562e+06	8.5952492771e+06	-4.7140452079e-04	2.0427529235e-03	1.7777777778e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3	3.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-1.9051586888e-03	1.5396007178e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-8.1649658080e-04	2.3094010768e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.5676389871e+06	2.9648541208e+05	1.3776792699e+06	1.6499158227e-03	9.5257934441e-04	4.4263520640e-03	2.4343523652e+06	2.8109479867e+05	2.7826965366e+06	7.0710678108e-04	4.0824829040e-04	4.0414518844e-03	-4.9497474687e+07	1.7953686462e+07	1.9531036069e+07	-1.6499158229e-03	3.0641293853e-03	3.3333333335e-03	-2.1213203436e+07	1.1949947307e+07	1.0399863108e+07	-7.0710678118e-04	3.0641293853e-03	2.6666666667e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
4	4.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-2.5402115851e-03	2.0528009571e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-1.0886621077e-03	3.0792014357e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4691131084e+06	2.8510862356e+05	1.3248147273e+06	2.1998877637e-03	1.2701057925e-03	5.9018027520e-03	2.3939686749e+06	2.7643169178e+05	2.7365341335e+06	9.4280904144e-04	5.4433105387e-04	5.3886025126e-03	-6.5996632917e+07	2.2023133725e+07	2.3958011077e+07	-2.1998877639e-03	4.0855058470e-03	4.4444444446e-03	-2.8284271247e+07	1.4000023270e+07	1.2184014019e+07	-9.4280904158e-04	4.0855058470e-03	3.5555555556e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5	5.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-3.1752644813e-03	2.5660011964e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-1.3608276347e-03	3.8490017947e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3743678814e+06	2.7416838710e+05	1.2739787119e+06	2.7498597046e-03	1.5876322407e-03	7.3772534400e-03	2.3542549132e+06	2.7184594158e+05	2.6911375227e+06	1.1785113018e-03	6.8041381734e-04	6.7357531407e-03	-8.2495791146e+07	2.5985987270e+07	2.8269027407e+07	-2.7498597049e-03	5.1068823088e-03	5.5555555558e-03	-3.5355339059e+07	1.6026861819e+07	1.3947941752e+07	-1.1785113020e-03	5.1068823088e-03	4.4444444445e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6	6.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-3.8103173776e-03	3.0792014357e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-1.6329931616e-03	4.6188021536e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.2832582343e+06	2.6364795125e+05	1.2250933846e+06	3.2998316455e-03	1.9051586888e-03	8.8527041280e-03	2.3151999667e+06	2.6733626481e+05	2.6464940003e+06	1.4142135622e-03	8.1649658081e-04	8.0829037688e-03	-9.8994949375e+07	2.9845138340e+07	3.2467230316e+07	-3.2998316458e-03	6.1282587705e-03	6.6666666669e-03	-4.2426406871e+07	1.8030735204e+07	1.5691883239e+07	-1.4142135624e-03	6.1282587705e-03	5.3333333334e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7	7.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-4.4453702739e-03	3.5924016750e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-1.9051586885e-03	5.3886025125e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1956446621e+06	2.5353120734e+05	1.1780838935e+06	3.8498035864e-03	2.2226851370e-03	1.0328154816e-02	2.2767929063e+06	2.6290139946e+05	2.6025910733e+06	1.6499158225e-03	9.5257934427e-04	9.4300543970e-03	-1.1549410760e+08	3.3603399755e+07	3.6555679751e+07	-3.8498035868e-03	7.1496352323e-03	7.7777777781e-03	-4.9497474683e+07	2.0011912482e+07	1.7416072640e+07	-1.6499158228e-03	7.1496352323e-03	6.2222222223e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8	8.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-5.0804231701e-03	4.1056019142e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-2.1773242155e-03	6.1584028715e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1113930127e+06	2.4380266485e+05	1.1328782585e+06	4.3997755273e-03	2.5402115851e-03	1.1803605504e-02	2.2390229840e+06	2.5854010450e+05	2.5594164559e+06	1.8856180829e-03	1.0886621077e-03	1.0777205025e-02	-1.2000000000e+08	3.4612598172e+07	3.7653542895e+07	-4.3997755278e-03	8.1710116940e-03	8.8888888892e-03	-5.6568542495e+07	2.1970659560e+07	1.9120741368e+07	-1.8856180832e-03	8.1710116940e-03	7.1111111112e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9	9.000000e-02	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-5.7154760664e-03	4.6188021535e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-2.4494897424e-03	6.9282032304e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0303742819e+06	2.3444742764e+05	1.0894072618e+06	4.9497474682e-03	2.8577380332e-03	1.3279056192e-02	2.2018796303e+06	2.5425115946e+05	2.5169580661e+06	2.1213203432e-03	1.2247448712e-03	1.2124355653e-02	-1.2000000000e+08	3.4612598172e+07	3.7653542895e+07	-4.9497474687e-03	9.1923881558e-03	1.0000000000e-02	-6.3639610307e+07	2.3907239229e+07	2.0806118127e+07	-2.1213203436e-03	9.1923881558e-03	8.0000000001e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
10	1.000000e-01	0.0000000000e+00	-5.8333333333e+06	4.7140452080e+06	0.0000000000e+00	-6.3505289627e-03	5.1320023928e-03	0.0000000000e+00	-2.4999999996e+06	7.0710678120e+06	0.0000000000e+00	-2.7216552693e-03	7.6980035893e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9524644156e+06	2.2545117118e+05	1.0476043416e+06	5.4997194092e-03	3.1752644814e-03	1.4754506880e-02	2.1653524511e+06	2.5003336411e+05	2.4752040224e+06	2.3570226036e-03	1.3608276347e-03	1.3471506281e-02	-1.2000000000e+08	3.4612598172e+07	3.7653542895e+07	-5.4997194097e-03	1.0213764618e-02	1.1111111112e-02	-7.0710678118e+07	2.5821911201e+07	2.2472428939e+07	-2.3570226039e-03	1.0213764618e-02	8.8888888890e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
