#step	time	ux0	ux1	ux2	ux3	uy0	uy1	uy2	uy3	uz0	uz1	uz2	uz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	fx0	fx1	fx2	fx3	fy0	fy1	fy2	fy3	fz0	fz1	fz2	fz3	mx0	mx1	mx2	mx3	my0	my1	my2	my3	mz0	mz1	mz2	mz3
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.3394384249e-01	-3.2075014959e-01	7.5641760491e-01	-3.0172361283e-01	-1.1599877028e-01	2.7777777782e-01	-2.0272702708e-01	4.0948019537e-02	-7.0285083720e-02	1.5713484030e-01	-7.2245452750e-03	-7.9625211301e-02	-1.1448562167e-05	1.9530396619e-05	4.3449902510e-05	1.1144639314e-05	1.2454794389e-05	1.7823164754e-05	1.8397485109e-04	1.4581345003e-04	2.1576527547e-06	1.0288065855e-05	3.2588716965e-04	3.2755594876e-05
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.3179418063e-01	-6.4150029919e-01	1.2114299692e+00	-4.3813548937e-01	-1.1413710849e-01	5.5555555563e-01	-5.6316461321e-01	1.2174616607e-01	-6.9232654857e-02	3.1426968059e-01	-2.4987448971e-02	-2.2004957676e-01	-1.1318153920e-05	3.9060793238e-05	1.2154870989e-04	3.5276585904e-05	1.2336080745e-05	3.5646329508e-05	2.9224066819e-04	2.0926421833e-04	2.0883878843e-06	2.0576131711e-05	5.1932327844e-04	4.5816176753e-05
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2968459049e-01	-9.6225044878e-01	1.5912660356e+00	-4.9933099633e-01	-1.1231014984e-01	8.3333333345e-01	-9.3024427326e-01	2.0922108966e-01	-6.8198828975e-02	4.7140452089e-01	-4.7467706429e-02	-3.5573798548e-01	-1.1189460170e-05	5.8591189857e-05	2.0372842440e-04	6.3499100740e-05	1.2218489546e-05	5.3469494263e-05	3.7807551373e-04	2.3374022866e-04	2.0208794909e-06	3.0864197566e-05	6.7937060646e-04	4.8854943271e-05
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2761425024e-01	-1.2830005984e+00	1.9706113761e+00	-5.5999652748e-01	-1.1051718260e-01	1.1111111113e+00	-1.2973328947e+00	2.9673896604e-01	-6.7183236292e-02	6.2853936118e-01	-6.9974673935e-02	-4.9138145096e-01	-1.1062454042e-05	7.8121586476e-05	2.8592688236e-04	9.1749788148e-05	1.2102010383e-05	7.1292659017e-05	4.6376079300e-04	2.5794108636e-04	1.9550861692e-06	4.1152263421e-05	8.3919822619e-04	5.1822717029e-05
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2558235579e-01	-1.6037507480e+00	2.3494699120e+00	-6.2013680828e-01	-1.0875751038e-01	1.3888888891e+00	-1.6644308076e+00	3.8429942892e-01	-6.6185514872e-02	7.8567420148e-01	-9.2508265511e-02	-6.2698042110e-01	-1.0937109151e-05	9.7651983095e-05	3.6814406168e-04	1.2002839958e-04	1.1986632942e-05	8.9115823771e-05	5.4929773814e-04	2.8186924699e-04	1.8909674633e-06	5.1440329276e-05	9.9880792361e-04	5.4720132570e-05
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2358812034e-01	-1.9245008976e+00	2.7278455402e+00	-6.7975652232e-01	-1.0703045182e-01	1.6666666669e+00	-2.0315383301e+00	4.7190211501e-01	-6.5205310460e-02	9.4280904177e-01	-1.1506839209e-01	-7.6253533922e-01	-1.0813399596e-05	1.1718237971e-04	4.5037993707e-04	1.4833468865e-04	1.1872346999e-05	1.0693898853e-04	6.3468757262e-04	3.0552714431e-04	1.8284838449e-06	6.1728395132e-05	1.1582014727e-03	5.7547818793e-05
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.8000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2163077408e-01	-2.2444481215e+00	3.1049392072e+00	-7.3886031165e-01	-1.0533534023e-01	1.9449080140e+00	-2.3991193379e+00	5.5954666405e-01	-6.4242276310e-02	1.0990073306e+00	-1.3671841014e-01	-8.9804664412e-01	-1.0691299949e-05	1.3629371968e-04	5.3224245941e-04	1.7666841113e-04	1.1759142418e-05	1.2455142919e-04	7.1967395961e-04	3.2891719047e-04	1.7675966929e-06	7.1552891645e-05	1.3169170663e-03	6.0306399001e-05
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.2000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1970956373e-01	-2.5419621590e+00	3.4591245000e+00	-7.9745277717e-01	-1.0367152327e-01	2.2361011674e+00	-2.7796623629e+00	6.4723271874e-01	-6.3296073019e-02	1.2290390194e+00	-1.3222817628e-01	-1.0335147701e+00	-1.0570785245e-05	1.4369690715e-04	6.0317083020e-04	2.0502932493e-04	1.1647009156e-05	1.3627638486e-04	7.9731984200e-04	3.5204177620e-04	1.7082682721e-06	6.8425581955e-05	1.4624682175e-03	6.2996490951e-05
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1782375226e-01	-2.8344890709e+00	3.8078513022e+00	-8.5553847902e-01	-1.0203836263e-01	2.5301736391e+00	-3.1630952012e+00	7.3495992476e-01	-6.2366368372e-02	1.3513590540e+00	-1.2005253866e-01	-1.1689401469e+00	-1.0451830970e-05	1.4822379802e-04	6.7031561111e-04	2.3341719005e-04	1.1535937258e-05	1.4527157816e-04	8.7369616770e-04	3.7490327103e-04	1.6504617137e-06	6.2418953925e-05	1.6049291525e-03	6.5618706904e-05
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.0000000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1597261846e-01	-3.1166778320e+00	4.1457723873e+00	-9.1312193685e-01	-1.0043523373e-01	2.8302148450e+00	-3.5525075420e+00	8.2272793071e-01	-6.1452837177e-02	1.4572224378e+00	-9.1446400508e-02	-1.3043232001e+00	-1.0334413058e-05	1.4672028767e-04	7.2925748052e-04	2.6183176860e-04	1.1425916856e-05	1.4825508202e-04	9.4771355461e-04	3.9750402342e-04	1.5941409953e-06	5.0443591706e-05	1.7412121819e-03	6.8173653673e-05
