# Facet Data Generated with LDPM Mesh Generation Tool
# Format: Tet label followed by three lines per facet
# Tet [N]
# [n1 n2 cx cy cz fa nx ny nz vol]
# [pa px py pz qx qy qz sx sy sz]
# [fx1 fy1 fz1 fx2 fy2 fz2 fx3 fy3 fz3 mF]

Number of LDPM tets: 2
Tet index: 1
2 3 -0.0002777777778 0.0001666666667 7.856742013e-05 1.178511302e-07 -0.5 -0.5 -0.7071067812 7.856742013e-11
1.178511302e-07 0.5 0.5 0.7071067812 -0.5 0.8333333333 -0.2357022604 -0.7071067812 -0.2357022604 0.6666666667
0 0 0 -0.0003333333333 0 0.0002357022604 -0.0005 0.0005 0 0
2 4 -0.0002777777778 -0.0001666666667 7.856742013e-05 1.178511302e-07 0.5 -0.5 0.7071067812 7.856742013e-11
1.178511302e-07 0.5 -0.5 0.7071067812 -0.8333333333 -0.5 0.2357022604 0.2357022604 -0.7071067812 -0.6666666667
0 0 0 -0.0003333333333 0 0.0002357022604 -0.0005 -0.0005 0 0
3 4 -0.0001111111111 0 0.0003142696805 1.178511302e-07 0 1 -0 7.856742013e-11
1.178511302e-07 0 -1 0 -0.3333333333 0 0.9428090416 -0.9428090416 -0 -0.3333333333
0 0 0 -0.0003333333333 0 0.0002357022604 0 0 0.0007071067812 0
1 3 0.0002777777778 0.0001666666667 7.856742013e-05 1.178511302e-07 -0.5 0.5 0.7071067812 7.856742013e-11
1.178511302e-07 -0.5 0.5 0.7071067812 0.8333333333 0.5 0.2357022604 -0.2357022604 0.7071067812 -0.6666666667
0 0 0 0.0003333333333 0 0.0002357022604 0.0005 0.0005 0 0
1 4 0.0002777777778 -0.0001666666667 7.856742013e-05 1.178511302e-07 0.5 0.5 -0.7071067812 7.856742013e-11
1.178511302e-07 -0.5 -0.5 0.7071067812 0.5 -0.8333333333 -0.2357022604 0.7071067812 0.2357022604 0.6666666667
0 0 0 0.0003333333333 0 0.0002357022604 0.0005 -0.0005 0 0
3 4 0.0001111111111 0 0.0003142696805 1.178511302e-07 0 -1 0 7.856742013e-11
1.178511302e-07 0 -1 0 0.3333333333 0 0.9428090416 -0.9428090416 0 0.3333333333
0 0 0 0.0003333333333 0 0.0002357022604 0 0 0.0007071067812 0
1 2 0 -0.0001111111111 -0.0003142696805 1.178511302e-07 1 0 0 7.856742013e-11
1.178511302e-07 -1 0 0 0 -0.3333333333 -0.9428090416 0 -0.9428090416 0.3333333333
0 0 0 0 -0.0003333333333 -0.0002357022604 0 0 -0.0007071067812 0
1 4 0.0001666666667 -0.0002777777778 -7.856742013e-05 1.178511302e-07 -0.5 -0.5 0.7071067812 7.856742013e-11
1.178511302e-07 -0.5 -0.5 0.7071067812 0.5 -0.8333333333 -0.2357022604 0.7071067812 0.2357022604 0.6666666667
0 0 0 0 -0.0003333333333 -0.0002357022604 0.0005 -0.0005 0 0
2 4 -0.0001666666667 -0.0002777777778 -7.856742013e-05 1.178511302e-07 -0.5 0.5 -0.7071067812 7.856742013e-11
1.178511302e-07 0.5 -0.5 0.7071067812 -0.8333333333 -0.5 0.2357022604 0.2357022604 -0.7071067812 -0.6666666667
0 0 0 0 -0.0003333333333 -0.0002357022604 -0.0005 -0.0005 0 0
1 2 0 0.0001111111111 -0.0003142696805 1.178511302e-07 -1 0 0 7.856742013e-11
1.178511302e-07 -1 0 0 0 0.3333333333 -0.9428090416 -0 -0.9428090416 -0.3333333333
0 0 0 0 0.0003333333333 -0.0002357022604 0 0 -0.0007071067812 0
1 3 0.0001666666667 0.0002777777778 -7.856742013e-05 1.178511302e-07 0.5 -0.5 -0.7071067812 7.856742013e-11
1.178511302e-07 -0.5 0.5 0.7071067812 0.8333333333 0.5 0.2357022604 -0.2357022604 0.7071067812 -0.6666666667
0 0 0 0 0.0003333333333 -0.0002357022604 0.0005 0.0005 0 0
2 3 -0.0001666666667 0.0002777777778 -7.856742013e-05 1.178511302e-07 0.5 0.5 0.7071067812 7.856742013e-11
1.178511302e-07 0.5 0.5 0.7071067812 -0.5 0.8333333333 -0.2357022604 -0.7071067812 -0.2357022604 0.6666666667
0 0 0 0 0.0003333333333 -0.0002357022604 -0.0005 0.0005 0 0
