#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
1	2.000000e-05	1.000000e+00	0.000000e+00	2.039022e-15	1.979703e-08	1.000000e+00	1.583599e+01
2	4.000000e-05	1.000000e+00	0.000000e+00	5.711723e-15	7.850776e-08	1.000000e+00	1.640144e+01
3	6.000000e-05	1.000000e+00	0.000000e+00	6.220814e-15	1.181846e-07	1.000000e+00	1.695740e+01
4	8.000000e-05	1.000000e+00	0.000000e+00	3.409529e-15	8.117894e-08	1.000000e+00	1.751455e+01
5	1.000000e-04	1.000000e+00	0.000000e+00	1.757392e-15	3.290139e-08	1.000000e+00	1.806956e+01
6	1.200000e-04	1.000000e+00	0.000000e+00	1.717040e-15	2.047892e-08	1.000000e+00	1.862496e+01
7	1.400000e-04	1.000000e+00	0.000000e+00	2.787755e-15	4.660156e-08	1.000000e+00	1.918218e+01
8	1.600000e-04	1.000000e+00	0.000000e+00	3.354204e-15	7.508633e-08	1.000000e+00	1.974049e+01
9	1.800000e-04	1.000000e+00	0.000000e+00	2.612192e-15	6.149596e-08	1.000000e+00	2.030500e+01
10	2.000000e-04	1.000000e+00	0.000000e+00	1.651737e-15	2.768967e-08	1.000000e+00	2.086393e+01
11	2.200000e-04	1.000000e+00	0.000000e+00	1.305570e-15	2.122320e-08	1.000000e+00	2.142519e+01
12	2.400000e-04	1.000000e+00	0.000000e+00	1.611558e-15	2.391000e-08	1.000000e+00	2.198817e+01
13	2.600000e-04	1.000000e+00	0.000000e+00	2.051074e-15	4.544022e-08	1.000000e+00	2.255027e+01
14	2.800000e-04	1.000000e+00	0.000000e+00	2.019929e-15	4.605657e-08	1.000000e+00	2.311431e+01
15	3.000000e-04	1.000000e+00	0.000000e+00	1.543545e-15	2.829736e-08	1.000000e+00	2.368076e+01
16	3.200000e-04	1.000000e+00	0.000000e+00	1.186689e-15	1.441455e-08	1.000000e+00	2.424458e+01
17	3.400000e-04	1.000000e+00	0.000000e+00	1.262931e-15	6.116658e-09	1.000000e+00	2.480774e+01
