#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	4.000000e-05	-5.000000e-09	-2.363577e+01	4.116036e+00	3.150318e-08	5.908942e-08	2.827480e-08
2	8.000000e-05	-1.000000e-08	-4.509938e+00	1.984157e+01	9.857680e-08	1.294537e-07	2.714483e-08
3	1.200000e-04	-2.000000e-08	-5.831136e+01	3.915971e+01	3.852850e-07	4.435602e-07	6.470100e-08
4	1.600000e-04	-3.500000e-08	-6.202273e+01	5.742769e+01	1.173888e-06	1.346066e-06	1.565952e-07
5	2.000000e-04	-5.000000e-08	-9.549075e+01	9.674334e+01	2.374382e-06	2.527417e-06	1.529816e-07
6	2.400000e-04	-7.500000e-08	-1.632584e+02	1.421783e+02	5.351960e-06	5.761781e-06	3.982658e-07
7	2.800000e-04	-1.000000e-07	-1.669056e+02	1.812977e+02	9.495804e-06	9.888830e-06	3.600901e-07
8	3.200000e-04	-1.300000e-07	-2.766413e+02	2.493369e+02	1.602934e-05	1.654203e-05	5.215696e-07
9	3.600000e-04	-1.650000e-07	-2.973487e+02	3.124630e+02	2.580376e-05	2.658686e-05	7.164514e-07
10	4.000000e-04	-2.000000e-07	-3.854439e+02	3.709269e+02	3.790929e-05	3.853573e-05	6.218329e-07
11	4.400000e-04	-2.450000e-07	-4.873876e+02	4.657101e+02	5.690933e-05	5.817444e-05	1.210340e-06
12	4.800000e-04	-2.900000e-07	-5.240900e+02	5.467845e+02	7.969620e-05	8.093268e-05	1.160422e-06
13	5.200000e-04	-3.400000e-07	-6.695019e+02	6.424785e+02	1.095263e-04	1.107725e-04	1.230113e-06
14	5.600000e-04	-3.950000e-07	-7.434518e+02	7.498417e+02	1.478325e-04	1.496287e-04	1.680605e-06
15	6.000000e-04	-4.500000e-07	-8.535081e+02	8.419706e+02	1.918514e-04	1.935451e-04	1.646984e-06
16	6.400000e-04	-5.150000e-07	-9.955407e+02	9.809513e+02	2.512769e-04	2.536392e-04	2.273718e-06
17	6.800000e-04	-5.800000e-07	-1.078873e+03	1.097177e+03	3.186799e-04	3.210576e-04	2.247852e-06
18	7.200000e-04	-6.500000e-07	-1.256466e+03	1.221717e+03	4.002369e-04	4.027945e-04	2.514810e-06
19	7.600000e-04	-7.250000e-07	-1.365746e+03	1.382822e+03	4.979293e-04	5.011274e-04	3.020594e-06
20	8.000000e-04	-8.000000e-07	-1.517118e+03	1.505570e+03	6.062655e-04	6.092348e-04	2.892855e-06
21	8.400000e-04	-8.850000e-07	-1.697600e+03	1.675151e+03	7.419447e-04	7.458603e-04	3.778813e-06
22	8.800000e-04	-9.700000e-07	-1.819926e+03	1.839869e+03	8.912788e-04	8.953552e-04	3.893400e-06
23	9.200000e-04	-1.060000e-06	-2.028167e+03	2.000735e+03	1.064341e-03	1.068519e-03	4.098806e-06
24	9.600000e-04	-1.160000e-06	-2.204936e+03	2.199011e+03	1.274661e-03	1.280175e-03	5.298421e-06
25	1.000000e-03	-1.250000e-06	-2.332818e+03	2.367592e+03	1.480150e-03	1.484374e-03	4.011223e-06
26	1.040000e-03	-1.360000e-06	-2.654755e+03	2.572549e+03	1.752181e-03	1.758690e-03	6.495677e-06
27	1.080000e-03	-1.460000e-06	-2.673503e+03	2.763432e+03	2.019285e-03	2.025103e-03	5.258976e-06
28	1.120000e-03	-1.570000e-06	-3.072837e+03	2.973708e+03	2.334996e-03	2.341152e-03	6.354057e-06
29	1.160000e-03	-1.690000e-06	-3.143743e+03	3.200969e+03	2.705560e-03	2.714147e-03	7.732957e-06
30	1.200000e-03	-1.800000e-06	-3.424850e+03	3.399896e+03	3.069231e-03	3.075419e-03	6.100573e-06
31	1.240000e-03	-1.930000e-06	-3.697394e+03	3.668935e+03	3.528639e-03	3.538365e-03	9.019726e-06
32	1.280000e-03	-2.050000e-06	-3.816105e+03	3.872513e+03	3.981020e-03	3.989175e-03	7.455656e-06
33	1.320000e-03	-2.180000e-06	-4.212079e+03	4.121715e+03	4.501859e-03	4.511007e-03	8.747183e-06
34	1.360000e-03	-2.320000e-06	-4.353942e+03	4.410934e+03	5.098624e-03	5.110629e-03	1.088742e-05
35	1.400000e-03	-2.450000e-06	-4.634863e+03	4.619360e+03	5.686108e-03	5.694901e-03	8.167487e-06
36	1.440000e-03	-2.600000e-06	-4.985572e+03	4.940630e+03	6.403714e-03	6.416434e-03	1.178721e-05
37	1.480000e-03	-2.740000e-06	-5.117092e+03	5.183179e+03	7.111742e-03	7.123620e-03	1.059842e-05
38	1.520000e-03	-2.890000e-06	-5.551563e+03	5.459937e+03	7.911638e-03	7.923769e-03	1.147720e-05
39	1.560000e-03	-3.050000e-06	-5.742259e+03	5.804742e+03	8.811968e-03	8.827275e-03	1.364365e-05
40	1.600000e-03	-3.200000e-06	-6.059156e+03	6.028745e+03	9.700064e-03	9.712381e-03	1.132526e-05
41	1.640000e-03	-3.370000e-06	-6.435350e+03	6.402491e+03	1.075802e-02	1.077441e-02	1.493336e-05
42	1.680000e-03	-3.530000e-06	-6.620621e+03	6.689108e+03	1.180363e-02	1.181889e-02	1.354278e-05
43	1.720000e-03	-3.700000e-06	-7.082592e+03	6.980673e+03	1.296787e-02	1.298366e-02	1.465916e-05
44	1.760000e-03	-3.880000e-06	-7.317542e+03	7.383655e+03	1.426038e-02	1.427968e-02	1.715937e-05
45	1.800000e-03	-4.050000e-06	-7.668223e+03	7.641721e+03	1.553739e-02	1.555347e-02	1.460874e-05
46	1.840000e-03	-4.240000e-06	-8.079083e+03	8.046673e+03	1.702931e-02	1.704946e-02	1.823258e-05
47	1.880000e-03	-4.420000e-06	-8.314854e+03	8.375038e+03	1.850573e-02	1.852492e-02	1.697630e-05
48	1.920000e-03	-4.610000e-06	-8.803516e+03	8.705621e+03	2.013090e-02	2.015116e-02	1.869034e-05
49	1.960000e-03	-4.810000e-06	-9.072400e+03	9.148114e+03	2.191557e-02	2.193875e-02	2.051389e-05
50	2.000000e-03	-5.000000e-06	-9.478563e+03	9.437300e+03	2.368115e-02	2.370109e-02	1.807529e-05
51	2.040000e-03	-5.200000e-06	-9.865066e+03	9.877301e+03	2.561337e-02	2.563546e-02	1.958145e-05
52	2.080000e-03	-5.400000e-06	-1.022553e+04	1.021955e+04	2.762139e-02	2.764452e-02	2.077842e-05
53	2.120000e-03	-5.600000e-06	-1.061291e+04	1.058298e+04	2.970528e-02	2.972836e-02	2.065068e-05
54	2.160000e-03	-5.800000e-06	-1.096908e+04	1.104994e+04	3.186505e-02	3.188656e-02	1.896261e-05
55	2.200000e-03	-6.000000e-06	-1.139101e+04	1.130766e+04	3.410052e-02	3.412257e-02	1.963529e-05
56	2.240000e-03	-6.200000e-06	-1.173306e+04	1.176057e+04	3.641163e-02	3.643498e-02	2.062145e-05
57	2.280000e-03	-6.400000e-06	-1.213072e+04	1.215210e+04	3.879859e-02	3.882135e-02	2.026023e-05
58	2.320000e-03	-6.600000e-06	-1.248547e+04	1.246789e+04	4.126135e-02	4.128297e-02	1.885497e-05
59	2.360000e-03	-6.800000e-06	-1.290760e+04	1.290501e+04	4.380000e-02	4.382228e-02	1.975705e-05
60	2.400000e-03	-7.000000e-06	-1.325599e+04	1.324246e+04	4.641436e-02	4.643864e-02	2.143906e-05
61	2.440000e-03	-7.200000e-06	-1.361453e+04	1.366204e+04	4.910444e-02	4.912569e-02	1.855577e-05
62	2.480000e-03	-7.400000e-06	-1.404886e+04	1.400977e+04	5.187027e-02	5.189203e-02	1.907192e-05
63	2.520000e-03	-7.600000e-06	-1.439441e+04	1.437875e+04	5.471192e-02	5.473635e-02	2.157144e-05
64	2.560000e-03	-7.800000e-06	-1.475713e+04	1.481031e+04	5.762946e-02	5.765151e-02	1.927333e-05
65	2.600000e-03	-8.000000e-06	-1.517163e+04	1.513574e+04	6.062269e-02	6.064438e-02	1.894661e-05
66	2.640000e-03	-8.200000e-06	-1.553208e+04	1.553583e+04	6.369169e-02	6.371475e-02	2.016500e-05
67	2.680000e-03	-8.400000e-06	-1.591701e+04	1.591087e+04	6.683642e-02	6.685966e-02	2.045118e-05
68	2.720000e-03	-8.600000e-06	-1.627988e+04	1.630445e+04	7.005701e-02	7.007935e-02	1.943644e-05
69	2.760000e-03	-8.800000e-06	-1.667671e+04	1.666883e+04	7.335338e-02	7.337501e-02	1.883375e-05
70	2.800000e-03	-9.000000e-06	-1.706498e+04	1.702579e+04	7.672550e-02	7.674918e-02	2.079596e-05
71	2.840000e-03	-9.200000e-06	-1.740782e+04	1.746461e+04	8.017341e-02	8.019646e-02	2.010431e-05
72	2.880000e-03	-9.400000e-06	-1.781167e+04	1.779123e+04	8.369707e-02	8.371841e-02	1.852002e-05
73	2.920000e-03	-9.600000e-06	-1.819901e+04	1.817771e+04	8.729654e-02	8.731948e-02	2.001102e-05
74	2.960000e-03	-9.800000e-06	-1.856067e+04	1.858076e+04	9.097176e-02	9.099544e-02	2.075412e-05
75	3.000000e-03	-1.000000e-05	-1.893348e+04	1.893638e+04	9.472280e-02	9.474486e-02	1.914367e-05
76	3.040000e-03	-1.020000e-05	-1.933144e+04	1.933352e+04	9.854960e-02	9.857135e-02	1.886163e-05
77	3.080000e-03	-1.040000e-05	-1.971448e+04	1.968362e+04	1.024522e-01	1.024759e-01	2.084867e-05
78	3.120000e-03	-1.060000e-05	-2.006045e+04	2.009312e+04	1.064305e-01	1.064534e-01	1.992732e-05
