#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
1	4.000000e-05	1.000000e+00	0.000000e+00	5.426596e-15	5.722530e-08	1.000000e+00	9.467271e+00
2	8.000000e-05	1.000000e+00	0.000000e+00	8.725916e-15	9.497098e-08	1.000000e+00	9.953810e+00
3	1.200000e-04	1.000000e+00	0.000000e+00	4.137737e-15	6.704984e-08	1.000000e+00	1.042991e+01
4	1.600000e-04	1.000000e+00	0.000000e+00	3.868087e-15	4.742168e-08	1.000000e+00	1.090478e+01
5	2.000000e-04	1.000000e+00	0.000000e+00	3.554973e-15	5.805671e-08	1.000000e+00	1.138149e+01
6	2.400000e-04	1.000000e+00	0.000000e+00	2.709142e-15	3.083167e-08	1.000000e+00	1.186221e+01
7	2.800000e-04	1.000000e+00	0.000000e+00	2.686665e-15	3.034195e-08	1.000000e+00	1.234462e+01
8	3.200000e-04	1.000000e+00	0.000000e+00	2.190110e-15	3.531933e-08	1.000000e+00	1.282671e+01
9	3.600000e-04	1.000000e+00	0.000000e+00	2.060154e-15	1.223295e-08	1.000000e+00	1.331488e+01
10	4.000000e-04	1.000000e+00	0.000000e+00	1.955267e-15	2.558845e-08	1.000000e+00	1.380698e+01
11	4.400000e-04	1.000000e+00	0.000000e+00	1.723961e-15	2.609420e-08	1.000000e+00	1.430066e+01
12	4.800000e-04	1.000000e+00	0.000000e+00	1.791108e-15	2.294653e-08	1.000000e+00	1.479635e+01
13	5.200000e-04	1.000000e+00	0.000000e+00	1.633965e-15	1.888265e-08	1.000000e+00	1.529000e+01
14	5.600000e-04	1.000000e+00	0.000000e+00	1.531398e-15	5.673290e-09	1.000000e+00	1.577770e+01
15	6.000000e-04	1.000000e+00	0.000000e+00	1.456479e-15	1.521131e-08	1.000000e+00	1.627117e+01
16	6.400000e-04	1.000000e+00	0.000000e+00	1.464716e-15	1.667131e-08	1.000000e+00	1.676287e+01
17	6.800000e-04	1.000000e+00	0.000000e+00	1.372471e-15	4.359043e-09	1.000000e+00	1.726234e+01
18	7.200000e-04	1.000000e+00	0.000000e+00	1.391455e-15	9.409126e-09	1.000000e+00	1.776178e+01
19	7.600000e-04	1.000000e+00	0.000000e+00	1.355229e-15	4.633211e-09	1.000000e+00	1.826467e+01
20	8.000000e-04	1.000000e+00	0.000000e+00	1.307472e-15	9.889297e-09	1.000000e+00	1.877535e+01
21	8.400000e-04	1.000000e+00	0.000000e+00	1.264150e-15	1.186464e-08	1.000000e+00	1.929363e+01
22	8.800000e-04	1.000000e+00	0.000000e+00	1.243724e-15	9.334820e-09	1.000000e+00	1.980524e+01
23	9.200000e-04	1.000000e+00	0.000000e+00	1.249166e-15	1.408070e-08	1.000000e+00	2.031367e+01
24	9.600000e-04	1.000000e+00	0.000000e+00	1.191411e-15	9.358008e-09	1.000000e+00	2.082627e+01
25	1.000000e-03	1.000000e+00	0.000000e+00	1.283374e-15	4.317934e-09	1.000000e+00	2.134273e+01
26	1.040000e-03	1.000000e+00	0.000000e+00	1.201191e-15	5.065561e-09	1.000000e+00	2.186345e+01
27	1.080000e-03	1.000000e+00	0.000000e+00	1.205752e-15	8.733382e-10	1.000000e+00	2.238548e+01
28	1.120000e-03	1.000000e+00	0.000000e+00	1.182560e-15	6.388765e-09	1.000000e+00	2.290961e+01
29	1.160000e-03	1.000000e+00	0.000000e+00	1.191611e-15	7.899437e-09	1.000000e+00	2.343437e+01
30	1.200000e-03	1.000000e+00	0.000000e+00	1.190195e-15	9.397642e-09	1.000000e+00	2.396051e+01
31	1.240000e-03	1.000000e+00	0.000000e+00	1.133539e-15	7.845615e-09	1.000000e+00	2.448925e+01
32	1.280000e-03	1.000000e+00	0.000000e+00	1.122047e-15	1.058016e-08	1.000000e+00	2.501676e+01
33	1.320000e-03	1.000000e+00	0.000000e+00	1.109865e-15	7.686401e-09	1.000000e+00	2.554325e+01
34	1.360000e-03	1.000000e+00	0.000000e+00	1.146709e-15	9.960744e-09	1.000000e+00	2.606607e+01
35	1.400000e-03	1.000000e+00	0.000000e+00	1.121857e-15	8.390508e-10	1.000000e+00	2.659612e+01
36	1.440000e-03	1.000000e+00	0.000000e+00	1.111005e-15	3.635399e-09	1.000000e+00	2.712677e+01
37	1.480000e-03	1.000000e+00	0.000000e+00	1.117102e-15	8.019606e-09	1.000000e+00	2.765730e+01
38	1.520000e-03	1.000000e+00	0.000000e+00	1.152254e-15	5.707822e-09	1.000000e+00	2.819326e+01
39	1.560000e-03	1.000000e+00	0.000000e+00	1.128005e-15	7.034678e-09	1.000000e+00	2.872894e+01
40	1.600000e-03	1.000000e+00	0.000000e+00	1.099106e-15	5.200267e-09	1.000000e+00	2.926686e+01
41	1.640000e-03	1.000000e+00	0.000000e+00	1.112583e-15	5.264859e-09	1.000000e+00	2.980251e+01
42	1.680000e-03	1.000000e+00	0.000000e+00	1.121822e-15	2.078418e-09	1.000000e+00	3.033963e+01
43	1.720000e-03	1.000000e+00	0.000000e+00	1.038894e-15	6.154232e-09	1.000000e+00	3.087742e+01
44	1.760000e-03	1.000000e+00	0.000000e+00	1.053740e-15	5.270769e-09	1.000000e+00	3.141524e+01
45	1.800000e-03	1.000000e+00	0.000000e+00	1.044846e-15	5.911551e-09	1.000000e+00	3.195276e+01
46	1.840000e-03	1.000000e+00	0.000000e+00	1.094261e-15	8.578113e-09	1.000000e+00	3.249234e+01
47	1.880000e-03	1.000000e+00	0.000000e+00	1.112859e-15	7.900066e-09	1.000000e+00	3.303395e+01
48	1.920000e-03	1.000000e+00	0.000000e+00	1.107186e-15	9.398483e-09	1.000000e+00	3.357704e+01
49	1.960000e-03	1.000000e+00	0.000000e+00	1.074657e-15	7.771086e-09	1.000000e+00	3.412012e+01
50	2.000000e-03	1.000000e+00	0.000000e+00	1.144902e-15	4.829905e-09	1.000000e+00	3.466577e+01
51	2.040000e-03	1.000000e+00	0.000000e+00	1.103741e-15	8.425400e-09	1.000000e+00	3.521091e+01
52	2.080000e-03	1.000000e+00	0.000000e+00	1.097167e-15	6.102990e-09	1.000000e+00	3.575621e+01
53	2.120000e-03	1.000000e+00	0.000000e+00	1.092113e-15	6.616632e-09	1.000000e+00	3.629813e+01
54	2.160000e-03	1.000000e+00	0.000000e+00	1.105872e-15	3.847645e-09	1.000000e+00	3.684395e+01
55	2.200000e-03	1.000000e+00	0.000000e+00	1.063160e-15	6.691441e-09	1.000000e+00	3.739306e+01
56	2.240000e-03	1.000000e+00	0.000000e+00	1.066451e-15	4.399439e-09	1.000000e+00	3.794230e+01
57	2.280000e-03	1.000000e+00	0.000000e+00	1.074971e-15	1.853672e-09	1.000000e+00	3.848787e+01
58	2.320000e-03	1.000000e+00	0.000000e+00	1.101764e-15	3.541206e-09	1.000000e+00	3.903850e+01
59	2.360000e-03	1.000000e+00	0.000000e+00	1.065438e-15	2.669359e-09	1.000000e+00	3.958943e+01
60	2.400000e-03	1.000000e+00	0.000000e+00	1.054809e-15	1.983051e-09	1.000000e+00	4.014060e+01
