#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	6.000000e-05	-7.500000e-09	-2.508115e+01	9.505519e+00	5.859656e-08	9.405432e-08	3.621191e-08
2	1.200000e-04	-2.000000e-08	-3.018896e+01	3.916233e+01	3.803130e-07	4.394925e-07	5.411510e-08
3	1.800000e-04	-4.250000e-08	-9.644488e+01	7.806015e+01	1.716605e-06	1.864123e-06	1.573440e-07
4	2.400000e-04	-7.500000e-08	-1.389884e+02	1.361396e+02	5.332692e-06	5.689913e-06	3.384224e-07
5	3.000000e-04	-1.125000e-07	-2.146040e+02	2.191202e+02	1.199382e-05	1.231977e-05	3.332532e-07
6	3.600000e-04	-1.650000e-07	-3.295969e+02	3.026687e+02	2.581367e-05	2.660505e-05	7.844170e-07
7	4.200000e-04	-2.225000e-07	-4.076997e+02	4.215126e+02	4.690180e-05	4.780232e-05	8.656095e-07
8	4.800000e-04	-2.900000e-07	-5.678004e+02	5.549729e+02	7.967408e-05	8.072545e-05	1.077596e-06
9	5.400000e-04	-3.675000e-07	-6.919433e+02	6.813558e+02	1.279549e-04	1.295405e-04	1.521077e-06
10	6.000000e-04	-4.500000e-07	-8.582432e+02	8.612418e+02	1.918268e-04	1.934857e-04	1.671588e-06
11	6.600000e-04	-5.475000e-07	-1.045871e+03	1.032832e+03	2.839525e-04	2.863113e-04	2.313870e-06
12	7.200000e-04	-6.500000e-07	-1.226022e+03	1.222104e+03	4.002150e-04	4.027458e-04	2.487147e-06
13	7.800000e-04	-7.625000e-07	-1.459786e+03	1.456085e+03	5.507460e-04	5.538225e-04	3.077201e-06
14	8.400000e-04	-8.850000e-07	-1.668663e+03	1.662624e+03	7.419149e-04	7.454400e-04	3.431064e-06
15	9.000000e-04	-1.012500e-06	-1.930201e+03	1.921590e+03	9.710628e-04	9.748675e-04	3.815315e-06
16	9.600000e-04	-1.155000e-06	-2.194086e+03	2.187812e+03	1.263635e-03	1.268723e-03	5.004100e-06
17	1.020000e-03	-1.302500e-06	-2.458159e+03	2.458628e+03	1.606992e-03	1.611826e-03	4.766853e-06
18	1.080000e-03	-1.460000e-06	-2.788984e+03	2.774313e+03	2.019139e-03	2.025038e-03	5.908530e-06
19	1.140000e-03	-1.627500e-06	-3.069654e+03	3.070613e+03	2.508996e-03	2.515699e-03	6.535322e-06
20	1.200000e-03	-1.800000e-06	-3.421727e+03	3.416519e+03	3.069027e-03	3.075581e-03	6.585272e-06
21	1.260000e-03	-1.987500e-06	-3.776112e+03	3.759567e+03	3.741718e-03	3.750378e-03	8.533008e-06
22	1.320000e-03	-2.180000e-06	-4.116125e+03	4.123868e+03	4.501624e-03	4.510006e-03	8.269498e-06
23	1.380000e-03	-2.382500e-06	-4.536740e+03	4.524645e+03	5.376788e-03	5.386109e-03	9.334945e-06
24	1.440000e-03	-2.595000e-06	-4.906072e+03	4.896990e+03	6.378689e-03	6.389408e-03	1.049189e-05
25	1.500000e-03	-2.812500e-06	-5.336729e+03	5.339912e+03	7.492735e-03	7.503312e-03	1.058814e-05
26	1.560000e-03	-3.045000e-06	-5.778902e+03	5.762864e+03	8.782737e-03	8.795504e-03	1.260933e-05
27	1.620000e-03	-3.282500e-06	-6.208492e+03	6.207999e+03	1.020621e-02	1.021901e-02	1.264439e-05
28	1.680000e-03	-3.530000e-06	-6.707597e+03	6.703320e+03	1.180335e-02	1.181737e-02	1.401387e-05
29	1.740000e-03	-3.787500e-06	-7.164236e+03	7.155107e+03	1.358817e-02	1.360337e-02	1.493242e-05
30	1.800000e-03	-4.050000e-06	-7.685647e+03	7.681283e+03	1.553691e-02	1.555242e-02	1.551462e-05
31	1.860000e-03	-4.327500e-06	-8.204297e+03	8.196158e+03	1.773898e-02	1.775715e-02	1.793988e-05
32	1.920000e-03	-4.610000e-06	-8.723627e+03	8.722250e+03	2.013060e-02	2.014822e-02	1.745946e-05
33	1.980000e-03	-4.902500e-06	-9.311693e+03	9.300571e+03	2.276619e-02	2.278588e-02	1.966580e-05
34	2.040000e-03	-5.200000e-06	-9.828173e+03	9.837648e+03	2.561307e-02	2.563294e-02	1.948873e-05
35	2.100000e-03	-5.500000e-06	-1.044054e+04	1.042620e+04	2.865365e-02	2.867325e-02	1.967889e-05
36	2.160000e-03	-5.800000e-06	-1.097202e+04	1.099033e+04	3.186474e-02	3.188513e-02	1.996148e-05
37	2.220000e-03	-6.100000e-06	-1.156478e+04	1.154662e+04	3.524635e-02	3.526565e-02	1.933279e-05
38	2.280000e-03	-6.400000e-06	-1.212317e+04	1.213618e+04	3.879846e-02	3.881884e-02	2.004575e-05
39	2.340000e-03	-6.700000e-06	-1.268942e+04	1.268387e+04	4.252106e-02	4.254073e-02	1.956637e-05
40	2.400000e-03	-7.000000e-06	-1.326497e+04	1.326509e+04	4.641416e-02	4.643389e-02	1.950548e-05
41	2.460000e-03	-7.300000e-06	-1.382960e+04	1.383047e+04	5.047775e-02	5.049808e-02	2.014476e-05
42	2.520000e-03	-7.600000e-06	-1.439222e+04	1.439358e+04	5.471186e-02	5.473135e-02	1.925188e-05
43	2.580000e-03	-7.900000e-06	-1.497565e+04	1.497229e+04	5.911648e-02	5.913653e-02	1.991956e-05
