#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
1	6.000000e-05	1.000000e+00	0.000000e+00	8.820034e-15	1.182598e-07	1.000000e+00	1.505524e+01
2	1.200000e-04	1.000000e+00	0.000000e+00	7.957491e-15	1.062650e-07	1.000000e+00	1.562130e+01
3	1.800000e-04	1.000000e+00	0.000000e+00	4.948607e-15	8.561887e-08	1.000000e+00	1.618334e+01
4	2.400000e-04	1.000000e+00	0.000000e+00	4.291615e-15	5.753113e-08	1.000000e+00	1.674669e+01
5	3.000000e-04	1.000000e+00	0.000000e+00	3.423777e-15	4.525217e-08	1.000000e+00	1.731314e+01
6	3.600000e-04	1.000000e+00	0.000000e+00	2.768413e-15	4.367628e-08	1.000000e+00	1.787569e+01
7	4.200000e-04	1.000000e+00	0.000000e+00	2.657644e-15	3.771722e-08	1.000000e+00	1.844138e+01
8	4.800000e-04	1.000000e+00	0.000000e+00	2.217092e-15	3.024353e-08	1.000000e+00	1.900790e+01
9	5.400000e-04	1.000000e+00	0.000000e+00	2.091084e-15	2.878486e-08	1.000000e+00	1.957420e+01
10	6.000000e-04	1.000000e+00	0.000000e+00	1.917326e-15	2.816808e-08	1.000000e+00	2.015333e+01
11	6.600000e-04	1.000000e+00	0.000000e+00	1.763662e-15	2.393461e-08	1.000000e+00	2.073229e+01
12	7.200000e-04	1.000000e+00	0.000000e+00	1.664466e-15	1.488919e-08	1.000000e+00	2.131010e+01
13	7.800000e-04	1.000000e+00	0.000000e+00	1.582116e-15	1.590518e-08	1.000000e+00	2.188750e+01
14	8.400000e-04	1.000000e+00	0.000000e+00	1.523892e-15	1.880209e-08	1.000000e+00	2.246554e+01
15	9.000000e-04	1.000000e+00	0.000000e+00	1.466043e-15	1.490957e-08	1.000000e+00	2.304545e+01
16	9.600000e-04	1.000000e+00	0.000000e+00	1.467327e-15	7.504150e-09	1.000000e+00	2.362611e+01
17	1.020000e-03	1.000000e+00	0.000000e+00	1.417825e-15	1.275490e-08	1.000000e+00	2.420998e+01
18	1.080000e-03	1.000000e+00	0.000000e+00	1.360211e-15	8.295657e-09	1.000000e+00	2.479081e+01
19	1.140000e-03	1.000000e+00	0.000000e+00	1.313849e-15	1.303621e-08	1.000000e+00	2.537544e+01
20	1.200000e-03	1.000000e+00	0.000000e+00	1.309712e-15	1.418240e-08	1.000000e+00	2.595732e+01
21	1.260000e-03	1.000000e+00	0.000000e+00	1.253878e-15	1.132662e-08	1.000000e+00	2.654249e+01
22	1.320000e-03	1.000000e+00	0.000000e+00	1.273529e-15	7.544394e-09	1.000000e+00	2.712898e+01
23	1.380000e-03	1.000000e+00	0.000000e+00	1.227539e-15	1.685714e-09	1.000000e+00	2.771451e+01
24	1.440000e-03	1.000000e+00	0.000000e+00	1.236605e-15	4.113439e-09	1.000000e+00	2.830082e+01
25	1.500000e-03	1.000000e+00	0.000000e+00	1.215808e-15	2.431681e-09	1.000000e+00	2.888739e+01
26	1.560000e-03	1.000000e+00	0.000000e+00	1.195377e-15	7.768724e-09	1.000000e+00	2.947514e+01
27	1.620000e-03	1.000000e+00	0.000000e+00	1.150395e-15	8.399646e-09	1.000000e+00	3.006667e+01
28	1.680000e-03	1.000000e+00	0.000000e+00	1.154242e-15	8.683912e-09	1.000000e+00	3.065648e+01
29	1.740000e-03	1.000000e+00	0.000000e+00	1.135431e-15	9.720361e-09	1.000000e+00	3.124851e+01
30	1.800000e-03	1.000000e+00	0.000000e+00	1.117205e-15	7.198103e-09	1.000000e+00	3.183982e+01
31	1.860000e-03	1.000000e+00	0.000000e+00	1.176047e-15	9.237807e-09	1.000000e+00	3.243436e+01
32	1.920000e-03	1.000000e+00	0.000000e+00	1.175628e-15	8.640142e-09	1.000000e+00	3.302688e+01
33	1.980000e-03	1.000000e+00	0.000000e+00	1.167284e-15	6.358031e-09	1.000000e+00	3.362159e+01
34	2.040000e-03	1.000000e+00	0.000000e+00	1.124505e-15	7.296616e-09	1.000000e+00	3.421641e+01
35	2.100000e-03	1.000000e+00	0.000000e+00	1.118731e-15	7.215946e-09	1.000000e+00	3.481284e+01
36	2.160000e-03	1.000000e+00	0.000000e+00	1.138042e-15	5.500451e-09	1.000000e+00	3.540876e+01
37	2.220000e-03	1.000000e+00	0.000000e+00	1.151010e-15	2.584943e-09	1.000000e+00	3.600366e+01
38	2.280000e-03	1.000000e+00	0.000000e+00	1.143829e-15	2.431786e-09	1.000000e+00	3.660504e+01
39	2.340000e-03	1.000000e+00	0.000000e+00	1.101179e-15	5.164836e-09	1.000000e+00	3.720472e+01
40	2.400000e-03	1.000000e+00	0.000000e+00	1.095169e-15	2.447808e-09	1.000000e+00	3.780809e+01
41	2.460000e-03	1.000000e+00	0.000000e+00	1.042879e-15	3.469114e-09	1.000000e+00	3.840607e+01
42	2.520000e-03	1.000000e+00	0.000000e+00	1.063262e-15	7.538740e-09	1.000000e+00	3.901194e+01
43	2.580000e-03	1.000000e+00	0.000000e+00	1.084344e-15	1.766129e-09	1.000000e+00	3.961734e+01
44	2.640000e-03	1.000000e+00	0.000000e+00	1.083992e-15	3.486779e-09	1.000000e+00	4.022149e+01
45	2.700000e-03	1.000000e+00	0.000000e+00	1.078228e-15	7.405246e-09	1.000000e+00	4.082433e+01
46	2.760000e-03	1.000000e+00	0.000000e+00	1.095814e-15	7.541832e-09	1.000000e+00	4.143220e+01
47	2.820000e-03	1.000000e+00	0.000000e+00	1.035773e-15	8.528007e-09	1.000000e+00	4.204079e+01
48	2.880000e-03	1.000000e+00	0.000000e+00	1.122445e-15	5.214173e-09	1.000000e+00	4.265084e+01
49	2.940000e-03	1.000000e+00	0.000000e+00	1.080321e-15	4.284149e-09	1.000000e+00	4.325710e+01
50	3.000000e-03	1.000000e+00	0.000000e+00	1.087368e-15	5.409953e-09	1.000000e+00	4.387005e+01
51	3.060000e-03	1.000000e+00	0.000000e+00	1.127582e-15	2.519592e-09	1.000000e+00	4.448062e+01
52	3.120000e-03	1.000000e+00	0.000000e+00	1.049115e-15	7.334146e-09	1.000000e+00	4.508885e+01
53	3.180000e-03	1.000000e+00	0.000000e+00	1.083519e-15	4.854926e-09	1.000000e+00	4.569514e+01
54	3.240000e-03	1.000000e+00	0.000000e+00	1.012543e-15	6.544898e-09	1.000000e+00	4.630759e+01
55	3.300000e-03	1.000000e+00	0.000000e+00	1.029031e-15	1.293535e-09	1.000000e+00	4.692430e+01
56	3.360000e-03	1.000000e+00	0.000000e+00	1.049980e-15	5.904565e-09	1.000000e+00	4.753641e+01
57	3.420000e-03	1.000000e+00	0.000000e+00	1.024846e-15	2.918087e-09	1.000000e+00	4.814569e+01
58	3.480000e-03	1.000000e+00	0.000000e+00	1.083263e-15	5.281516e-09	1.000000e+00	4.876187e+01
59	3.540000e-03	1.000000e+00	0.000000e+00	1.055107e-15	9.960942e-10	1.000000e+00	4.937698e+01
60	3.600000e-03	1.000000e+00	0.000000e+00	1.056687e-15	3.113861e-09	1.000000e+00	4.999188e+01
61	3.660000e-03	1.000000e+00	0.000000e+00	1.049065e-15	3.936638e-09	1.000000e+00	5.060399e+01
62	3.720000e-03	1.000000e+00	0.000000e+00	1.037217e-15	1.993448e-09	1.000000e+00	5.122217e+01
63	3.780000e-03	1.000000e+00	0.000000e+00	1.038802e-15	3.425577e-09	1.000000e+00	5.183977e+01
64	3.840000e-03	1.000000e+00	0.000000e+00	1.037515e-15	5.111234e-09	1.000000e+00	5.245638e+01
65	3.900000e-03	1.000000e+00	0.000000e+00	1.025940e-15	2.256997e-09	1.000000e+00	5.307137e+01
66	3.960000e-03	1.000000e+00	0.000000e+00	1.047576e-15	4.488846e-09	1.000000e+00	5.369210e+01
67	4.020000e-03	1.000000e+00	0.000000e+00	1.020371e-15	1.087557e-09	1.000000e+00	5.431196e+01
68	4.080000e-03	1.000000e+00	0.000000e+00	1.009270e-15	2.120286e-09	1.000000e+00	5.492854e+01
69	4.140000e-03	1.000000e+00	0.000000e+00	1.014812e-15	2.629525e-09	1.000000e+00	5.554188e+01
70	4.200000e-03	1.000000e+00	0.000000e+00	1.046223e-15	2.043987e-09	1.000000e+00	5.616262e+01
71	4.260000e-03	1.000000e+00	0.000000e+00	1.059141e-15	4.783404e-09	1.000000e+00	5.678546e+01
72	4.320000e-03	1.000000e+00	0.000000e+00	1.038919e-15	6.498144e-09	1.000000e+00	5.740799e+01
73	4.380000e-03	1.000000e+00	0.000000e+00	1.066735e-15	5.728950e-09	1.000000e+00	5.802660e+01
