#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
1	1.000000e-04	-1.250000e-08	-3.053530e+01	2.006300e+01	8.273459e-08	1.062781e-07	4.273139e-08
2	2.000000e-04	-5.000000e-08	-9.609019e+01	9.197546e+01	1.690301e-06	1.933760e-06	2.177135e-07
3	3.000000e-04	-1.125000e-07	-2.143403e+02	2.099068e+02	9.577570e-06	9.992754e-06	4.133525e-07
4	4.000000e-04	-2.000000e-07	-3.803165e+02	3.709328e+02	3.200557e-05	3.278145e-05	8.084880e-07
5	5.000000e-04	-3.125000e-07	-5.872884e+02	5.852912e+02	8.074169e-05	8.203492e-05	1.226926e-06
6	6.000000e-04	-4.500000e-07	-8.485797e+02	8.402434e+02	1.710825e-04	1.727672e-04	1.742014e-06
7	7.000000e-04	-6.125000e-07	-1.150876e+03	1.145237e+03	3.218209e-04	3.243063e-04	2.449267e-06
8	8.000000e-04	-8.000000e-07	-1.502247e+03	1.498246e+03	5.552723e-04	5.583967e-04	3.105396e-06
9	9.000000e-04	-1.012500e-06	-1.901796e+03	1.893132e+03	8.972633e-04	9.012080e-04	3.987848e-06
10	1.000000e-03	-1.250000e-06	-2.344943e+03	2.341417e+03	1.377126e-03	1.382121e-03	4.937874e-06
11	1.100000e-03	-1.512500e-06	-2.837686e+03	2.831106e+03	2.027719e-03	2.033597e-03	5.885462e-06
12	1.200000e-03	-1.800000e-06	-3.376895e+03	3.369839e+03	2.885401e-03	2.892494e-03	7.132581e-06
13	1.300000e-03	-2.112500e-06	-3.960318e+03	3.957056e+03	3.990048e-03	3.998417e-03	8.262526e-06
14	1.400000e-03	-2.450000e-06	-4.595314e+03	4.586595e+03	5.385053e-03	5.394556e-03	9.616001e-06
15	1.500000e-03	-2.812500e-06	-5.272163e+03	5.268292e+03	7.117312e-03	7.128512e-03	1.110213e-05
16	1.600000e-03	-3.200000e-06	-5.999129e+03	5.992887e+03	9.237245e-03	9.249726e-03	1.249431e-05
17	1.700000e-03	-3.612500e-06	-6.772520e+03	6.765477e+03	1.179878e-02	1.181298e-02	1.425800e-05
18	1.800000e-03	-4.050000e-06	-7.590381e+03	7.586628e+03	1.485935e-02	1.487535e-02	1.588435e-05
19	1.900000e-03	-4.512500e-06	-8.458989e+03	8.451115e+03	1.847991e-02	1.849750e-02	1.769869e-05
20	2.000000e-03	-5.000000e-06	-9.370762e+03	9.365992e+03	2.272493e-02	2.274472e-02	1.971332e-05
21	2.100000e-03	-5.500000e-06	-1.030073e+04	1.030558e+04	2.753871e-02	2.755926e-02	1.969582e-05
22	2.200000e-03	-6.000000e-06	-1.124307e+04	1.124000e+04	3.282085e-02	3.284051e-02	1.949078e-05
23	2.300000e-03	-6.500000e-06	-1.217695e+04	1.217730e+04	3.857137e-02	3.859175e-02	1.982848e-05
24	2.400000e-03	-7.000000e-06	-1.311337e+04	1.311550e+04	4.479025e-02	4.481028e-02	1.949269e-05
25	2.500000e-03	-7.500000e-06	-1.405285e+04	1.404945e+04	5.147750e-02	5.149745e-02	1.970708e-05
26	2.600000e-03	-8.000000e-06	-1.498591e+04	1.498899e+04	5.863311e-02	5.865346e-02	1.967021e-05
27	2.700000e-03	-8.500000e-06	-1.592570e+04	1.592417e+04	6.625709e-02	6.627694e-02	1.955160e-05
28	2.800000e-03	-9.000000e-06	-1.686098e+04	1.686053e+04	7.434945e-02	7.436969e-02	1.974331e-05
29	2.900000e-03	-9.500000e-06	-1.779745e+04	1.779939e+04	8.291017e-02	8.293025e-02	1.958051e-05
30	3.000000e-03	-1.000000e-05	-1.873549e+04	1.873318e+04	9.193925e-02	9.195926e-02	1.963812e-05
31	3.100000e-03	-1.050000e-05	-1.967095e+04	1.967245e+04	1.014367e-01	1.014569e-01	1.970509e-05
32	3.200000e-03	-1.100000e-05	-2.060801e+04	2.060804e+04	1.114025e-01	1.114226e-01	1.955295e-05
33	3.300000e-03	-1.150000e-05	-2.154573e+04	2.154418e+04	1.218367e-01	1.218568e-01	1.971554e-05
34	3.400000e-03	-1.200000e-05	-2.248049e+04	2.248288e+04	1.327393e-01	1.327595e-01	1.961684e-05
