#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time
1	1.000000e-04	1.000000e+00	0.000000e+00	1.230055e-14	1.077460e-07	1.000000e+00	1.687367e+01
2	2.000000e-04	1.000000e+00	0.000000e+00	9.171778e-15	8.228350e-08	1.000000e+00	1.742927e+01
3	3.000000e-04	1.000000e+00	0.000000e+00	6.174928e-15	5.535366e-08	1.000000e+00	1.798605e+01
4	4.000000e-04	1.000000e+00	0.000000e+00	4.518770e-15	6.186639e-08	1.000000e+00	1.854202e+01
5	5.000000e-04	1.000000e+00	0.000000e+00	3.603254e-15	4.196732e-08	1.000000e+00	1.909627e+01
6	6.000000e-04	1.000000e+00	0.000000e+00	3.030633e-15	2.592766e-08	1.000000e+00	1.965209e+01
7	7.000000e-04	1.000000e+00	0.000000e+00	2.744842e-15	3.249088e-08	1.000000e+00	2.020923e+01
8	8.000000e-04	1.000000e+00	0.000000e+00	2.361700e-15	1.812103e-08	1.000000e+00	2.076544e+01
9	9.000000e-04	1.000000e+00	0.000000e+00	2.109599e-15	2.159664e-08	1.000000e+00	2.132151e+01
10	1.000000e-03	1.000000e+00	0.000000e+00	2.011794e-15	1.364004e-08	1.000000e+00	2.187899e+01
11	1.100000e-03	1.000000e+00	0.000000e+00	1.874172e-15	1.079121e-08	1.000000e+00	2.243774e+01
12	1.200000e-03	1.000000e+00	0.000000e+00	1.760052e-15	1.707091e-08	1.000000e+00	2.299688e+01
13	1.300000e-03	1.000000e+00	0.000000e+00	1.610497e-15	8.195064e-09	1.000000e+00	2.355469e+01
14	1.400000e-03	1.000000e+00	0.000000e+00	1.579261e-15	1.755240e-08	1.000000e+00	2.411477e+01
15	1.500000e-03	1.000000e+00	0.000000e+00	1.521019e-15	4.943106e-09	1.000000e+00	2.467574e+01
16	1.600000e-03	1.000000e+00	0.000000e+00	1.441666e-15	8.375599e-09	1.000000e+00	2.525173e+01
17	1.700000e-03	1.000000e+00	0.000000e+00	1.407823e-15	1.093000e-08	1.000000e+00	2.581194e+01
18	1.800000e-03	1.000000e+00	0.000000e+00	1.410038e-15	6.134279e-09	1.000000e+00	2.637269e+01
19	1.900000e-03	1.000000e+00	0.000000e+00	1.346584e-15	1.726557e-08	1.000000e+00	2.693383e+01
20	2.000000e-03	1.000000e+00	0.000000e+00	1.319108e-15	1.285888e-08	1.000000e+00	2.749585e+01
