#step	time	iterations	error_displacements	error_residuals	error_energy	converged	elapsed_time[s]
1	2.000000e-05	1.000000e+00	0.000000e+00	1.895615e-15	4.414890e-08	1.000000e+00	1.183867e+01
2	4.000000e-05	1.000000e+00	0.000000e+00	5.471351e-15	5.605336e-08	1.000000e+00	1.235291e+01
3	6.000000e-05	1.000000e+00	0.000000e+00	6.265396e-15	1.028656e-07	1.000000e+00	1.286325e+01
4	8.000000e-05	1.000000e+00	0.000000e+00	3.491895e-15	5.776265e-08	1.000000e+00	1.337529e+01
5	1.000000e-04	1.000000e+00	0.000000e+00	1.684101e-15	5.763974e-09	1.000000e+00	1.388858e+01
6	1.200000e-04	1.000000e+00	0.000000e+00	1.589549e-15	2.245654e-08	1.000000e+00	1.440247e+01
7	1.400000e-04	1.000000e+00	0.000000e+00	2.680822e-15	3.279589e-08	1.000000e+00	1.491665e+01
8	1.600000e-04	1.000000e+00	0.000000e+00	3.343171e-15	6.622844e-08	1.000000e+00	1.543350e+01
9	1.800000e-04	1.000000e+00	0.000000e+00	2.614649e-15	4.908609e-08	1.000000e+00	1.595011e+01
10	2.000000e-04	1.000000e+00	0.000000e+00	1.724365e-15	2.260329e-08	1.000000e+00	1.647068e+01
11	2.200000e-04	1.000000e+00	0.000000e+00	1.295380e-15	1.500936e-08	1.000000e+00	1.699239e+01
12	2.400000e-04	1.000000e+00	0.000000e+00	1.506411e-15	1.290192e-08	1.000000e+00	1.751466e+01
13	2.600000e-04	1.000000e+00	0.000000e+00	1.984438e-15	3.604969e-08	1.000000e+00	1.803920e+01
14	2.800000e-04	1.000000e+00	0.000000e+00	2.027293e-15	3.731167e-08	1.000000e+00	1.856462e+01
15	3.000000e-04	1.000000e+00	0.000000e+00	1.578758e-15	2.322018e-08	1.000000e+00	1.909340e+01
16	3.200000e-04	1.000000e+00	0.000000e+00	1.190846e-15	8.144094e-09	1.000000e+00	1.962552e+01
17	3.400000e-04	1.000000e+00	0.000000e+00	1.294836e-15	1.379982e-08	1.000000e+00	2.016531e+01
18	3.600000e-04	1.000000e+00	0.000000e+00	1.483074e-15	2.313001e-08	1.000000e+00	2.070742e+01
19	3.800000e-04	1.000000e+00	0.000000e+00	1.628249e-15	2.740938e-08	1.000000e+00	2.124929e+01
20	4.000000e-04	1.000000e+00	0.000000e+00	1.420420e-15	1.764744e-08	1.000000e+00	2.179403e+01
21	4.200000e-04	1.000000e+00	0.000000e+00	1.241235e-15	7.071669e-09	1.000000e+00	2.234122e+01
22	4.400000e-04	1.000000e+00	0.000000e+00	1.163528e-15	1.225024e-08	1.000000e+00	2.289058e+01
23	4.600000e-04	1.000000e+00	0.000000e+00	1.205647e-15	1.077643e-08	1.000000e+00	2.344137e+01
24	4.800000e-04	1.000000e+00	0.000000e+00	1.374985e-15	1.408889e-08	1.000000e+00	2.399575e+01
25	5.000000e-04	1.000000e+00	0.000000e+00	1.321487e-15	1.514745e-08	1.000000e+00	2.455058e+01
26	5.200000e-04	1.000000e+00	0.000000e+00	1.194554e-15	9.788028e-09	1.000000e+00	2.510735e+01
27	5.400000e-04	1.000000e+00	0.000000e+00	1.231358e-15	6.028438e-09	1.000000e+00	2.566798e+01
28	5.600000e-04	1.000000e+00	0.000000e+00	1.193723e-15	7.349275e-09	1.000000e+00	2.622943e+01
29	5.800000e-04	1.000000e+00	0.000000e+00	1.207903e-15	1.486912e-08	1.000000e+00	2.679060e+01
30	6.000000e-04	1.000000e+00	0.000000e+00	1.274784e-15	1.505222e-08	1.000000e+00	2.735516e+01
31	6.200000e-04	1.000000e+00	0.000000e+00	1.140618e-15	1.108775e-08	1.000000e+00	2.792085e+01
32	6.400000e-04	1.000000e+00	0.000000e+00	1.165535e-15	4.073958e-09	1.000000e+00	2.848894e+01
33	6.600000e-04	1.000000e+00	0.000000e+00	1.113745e-15	7.700236e-09	1.000000e+00	2.905720e+01
34	6.800000e-04	1.000000e+00	0.000000e+00	1.105294e-15	4.204383e-09	1.000000e+00	2.962669e+01
35	7.000000e-04	1.000000e+00	0.000000e+00	1.202347e-15	8.352366e-09	1.000000e+00	3.019911e+01
36	7.200000e-04	1.000000e+00	0.000000e+00	1.153797e-15	6.064730e-09	1.000000e+00	3.077353e+01
37	7.400000e-04	1.000000e+00	0.000000e+00	1.169076e-15	4.438331e-09	1.000000e+00	3.134456e+01
38	7.600000e-04	1.000000e+00	0.000000e+00	1.132312e-15	1.670884e-09	1.000000e+00	3.192064e+01
39	7.800000e-04	1.000000e+00	0.000000e+00	1.128529e-15	5.494322e-09	1.000000e+00	3.249695e+01
40	8.000000e-04	1.000000e+00	0.000000e+00	1.098271e-15	9.299065e-09	1.000000e+00	3.307489e+01
41	8.200000e-04	1.000000e+00	0.000000e+00	1.139094e-15	9.297415e-09	1.000000e+00	3.365061e+01
42	8.400000e-04	1.000000e+00	0.000000e+00	1.105554e-15	5.045869e-09	1.000000e+00	3.422898e+01
43	8.600000e-04	1.000000e+00	0.000000e+00	1.115279e-15	4.007895e-09	1.000000e+00	3.480839e+01
44	8.800000e-04	1.000000e+00	0.000000e+00	1.076348e-15	5.137596e-09	1.000000e+00	3.538654e+01
45	9.000000e-04	1.000000e+00	0.000000e+00	1.122259e-15	6.360158e-09	1.000000e+00	3.596558e+01
46	9.200000e-04	1.000000e+00	0.000000e+00	1.086237e-15	8.942155e-09	1.000000e+00	3.654663e+01
47	9.400000e-04	1.000000e+00	0.000000e+00	1.139393e-15	8.458268e-09	1.000000e+00	3.712967e+01
48	9.600000e-04	1.000000e+00	0.000000e+00	1.171920e-15	7.140491e-09	1.000000e+00	3.771319e+01
49	9.800000e-04	1.000000e+00	0.000000e+00	1.139692e-15	3.207932e-09	1.000000e+00	3.829809e+01
50	1.000000e-03	1.000000e+00	0.000000e+00	1.090342e-15	6.302004e-09	1.000000e+00	3.888406e+01
51	1.020000e-03	1.000000e+00	0.000000e+00	1.100051e-15	5.492488e-09	1.000000e+00	3.946879e+01
52	1.040000e-03	1.000000e+00	0.000000e+00	1.102053e-15	5.926513e-09	1.000000e+00	4.005307e+01
53	1.060000e-03	1.000000e+00	0.000000e+00	1.122464e-15	2.719722e-09	1.000000e+00	4.063744e+01
54	1.080000e-03	1.000000e+00	0.000000e+00	1.126631e-15	6.656198e-09	1.000000e+00	4.122475e+01
55	1.100000e-03	1.000000e+00	0.000000e+00	1.121866e-15	1.682728e-09	1.000000e+00	4.181336e+01
56	1.120000e-03	1.000000e+00	0.000000e+00	1.050574e-15	2.181574e-09	1.000000e+00	4.240259e+01
57	1.140000e-03	1.000000e+00	0.000000e+00	1.037189e-15	2.304814e-09	1.000000e+00	4.299161e+01
58	1.160000e-03	1.000000e+00	0.000000e+00	1.064022e-15	4.639258e-09	1.000000e+00	4.358143e+01
59	1.180000e-03	1.000000e+00	0.000000e+00	1.149788e-15	6.690027e-09	1.000000e+00	4.417328e+01
60	1.200000e-03	1.000000e+00	0.000000e+00	1.085017e-15	4.142282e-09	1.000000e+00	4.476355e+01
61	1.220000e-03	1.000000e+00	0.000000e+00	1.043776e-15	3.307787e-09	1.000000e+00	4.535500e+01
62	1.240000e-03	1.000000e+00	0.000000e+00	9.971885e-16	4.313567e-09	1.000000e+00	4.594849e+01
63	1.260000e-03	1.000000e+00	0.000000e+00	1.052870e-15	6.345037e-09	1.000000e+00	4.654319e+01
64	1.280000e-03	1.000000e+00	0.000000e+00	1.098008e-15	4.164127e-09	1.000000e+00	4.713740e+01
65	1.300000e-03	1.000000e+00	0.000000e+00	1.088050e-15	4.700379e-09	1.000000e+00	4.773173e+01
66	1.320000e-03	1.000000e+00	0.000000e+00	1.060662e-15	7.206352e-09	1.000000e+00	4.833004e+01
67	1.340000e-03	1.000000e+00	0.000000e+00	1.067476e-15	9.516980e-09	1.000000e+00	4.892803e+01
68	1.360000e-03	1.000000e+00	0.000000e+00	1.120487e-15	3.754453e-09	1.000000e+00	4.952452e+01
69	1.380000e-03	1.000000e+00	0.000000e+00	1.069060e-15	3.670038e-09	1.000000e+00	5.012220e+01
70	1.400000e-03	1.000000e+00	0.000000e+00	1.099480e-15	2.665685e-09	1.000000e+00	5.072106e+01
71	1.420000e-03	1.000000e+00	0.000000e+00	1.090549e-15	3.124295e-09	1.000000e+00	5.132269e+01
72	1.440000e-03	1.000000e+00	0.000000e+00	1.098664e-15	7.098848e-09	1.000000e+00	5.192299e+01
73	1.460000e-03	1.000000e+00	0.000000e+00	1.108655e-15	5.715833e-09	1.000000e+00	5.252101e+01
74	1.480000e-03	1.000000e+00	0.000000e+00	1.098747e-15	5.214429e-09	1.000000e+00	5.312116e+01
75	1.500000e-03	1.000000e+00	0.000000e+00	1.092394e-15	2.978546e-09	1.000000e+00	5.372189e+01
76	1.520000e-03	1.000000e+00	0.000000e+00	1.110508e-15	3.700038e-09	1.000000e+00	5.432266e+01
77	1.540000e-03	1.000000e+00	0.000000e+00	1.112915e-15	4.459312e-09	1.000000e+00	5.492400e+01
78	1.560000e-03	1.000000e+00	0.000000e+00	1.068897e-15	9.045493e-10	1.000000e+00	5.552490e+01
79	1.580000e-03	1.000000e+00	0.000000e+00	1.069926e-15	5.562404e-10	1.000000e+00	5.612842e+01
80	1.600000e-03	1.000000e+00	0.000000e+00	1.078506e-15	4.729065e-09	1.000000e+00	5.673017e+01
81	1.620000e-03	1.000000e+00	0.000000e+00	1.085961e-15	3.637989e-09	1.000000e+00	5.733132e+01
82	1.640000e-03	1.000000e+00	0.000000e+00	1.104633e-15	4.501042e-09	1.000000e+00	5.793627e+01
83	1.660000e-03	1.000000e+00	0.000000e+00	1.082389e-15	7.560162e-10	1.000000e+00	5.854097e+01
84	1.680000e-03	1.000000e+00	0.000000e+00	1.062251e-15	2.270838e-09	1.000000e+00	5.914410e+01
85	1.700000e-03	1.000000e+00	0.000000e+00	1.095141e-15	4.976778e-09	1.000000e+00	5.974755e+01
86	1.720000e-03	1.000000e+00	0.000000e+00	1.059730e-15	2.774029e-09	1.000000e+00	6.035200e+01
87	1.740000e-03	1.000000e+00	0.000000e+00	1.026884e-15	3.424984e-09	1.000000e+00	6.095723e+01
88	1.760000e-03	1.000000e+00	0.000000e+00	1.011953e-15	5.682652e-09	1.000000e+00	6.156910e+01
89	1.780000e-03	1.000000e+00	0.000000e+00	1.025693e-15	2.768782e-09	1.000000e+00	6.216717e+01
90	1.800000e-03	1.000000e+00	0.000000e+00	1.048789e-15	3.232161e-09	1.000000e+00	6.276654e+01
91	1.820000e-03	1.000000e+00	0.000000e+00	1.092167e-15	7.058083e-09	1.000000e+00	6.336954e+01
92	1.840000e-03	1.000000e+00	0.000000e+00	1.101975e-15	8.052274e-09	1.000000e+00	6.397452e+01
93	1.860000e-03	1.000000e+00	0.000000e+00	1.039779e-15	5.063864e-09	1.000000e+00	6.458017e+01
94	1.880000e-03	1.000000e+00	0.000000e+00	1.076101e-15	5.292016e-09	1.000000e+00	6.518743e+01
95	1.900000e-03	1.000000e+00	0.000000e+00	1.084148e-15	7.631255e-09	1.000000e+00	6.579545e+01
96	1.920000e-03	1.000000e+00	0.000000e+00	1.088464e-15	4.633873e-09	1.000000e+00	6.640246e+01
97	1.940000e-03	1.000000e+00	0.000000e+00	1.084218e-15	5.884306e-09	1.000000e+00	6.700890e+01
98	1.960000e-03	1.000000e+00	0.000000e+00	1.050433e-15	2.658732e-09	1.000000e+00	6.761750e+01
99	1.980000e-03	1.000000e+00	0.000000e+00	1.109269e-15	4.507614e-09	1.000000e+00	6.822639e+01
100	2.000000e-03	1.000000e+00	0.000000e+00	1.071182e-15	3.756969e-09	1.000000e+00	6.883511e+01
101	2.020000e-03	1.000000e+00	0.000000e+00	1.082717e-15	6.555431e-09	1.000000e+00	6.944353e+01
102	2.040000e-03	1.000000e+00	0.000000e+00	1.087203e-15	4.011485e-09	1.000000e+00	7.005476e+01
103	2.060000e-03	1.000000e+00	0.000000e+00	1.072577e-15	4.989728e-09	1.000000e+00	7.066512e+01
104	2.080000e-03	1.000000e+00	0.000000e+00	1.060711e-15	2.518546e-09	1.000000e+00	7.127662e+01
105	2.100000e-03	1.000000e+00	0.000000e+00	1.071593e-15	4.450900e-09	1.000000e+00	7.188834e+01
106	2.120000e-03	1.000000e+00	0.000000e+00	1.100377e-15	4.893350e-09	1.000000e+00	7.249938e+01
107	2.140000e-03	1.000000e+00	0.000000e+00	1.108499e-15	3.840608e-09	1.000000e+00	7.311194e+01
108	2.160000e-03	1.000000e+00	0.000000e+00	1.060989e-15	4.004897e-09	1.000000e+00	7.372246e+01
109	2.180000e-03	1.000000e+00	0.000000e+00	1.083361e-15	2.599638e-09	1.000000e+00	7.433345e+01
110	2.200000e-03	1.000000e+00	0.000000e+00	1.058886e-15	1.549454e-09	1.000000e+00	7.494920e+01
111	2.220000e-03	1.000000e+00	0.000000e+00	1.086697e-15	3.344597e-09	1.000000e+00	7.556209e+01
112	2.240000e-03	1.000000e+00	0.000000e+00	1.069776e-15	3.673154e-09	1.000000e+00	7.617729e+01
113	2.260000e-03	1.000000e+00	0.000000e+00	1.051217e-15	2.427291e-10	1.000000e+00	7.679174e+01
114	2.280000e-03	1.000000e+00	0.000000e+00	1.051777e-15	2.581664e-09	1.000000e+00	7.740600e+01
115	2.300000e-03	1.000000e+00	0.000000e+00	1.029157e-15	1.785090e-09	1.000000e+00	7.801986e+01
116	2.320000e-03	1.000000e+00	0.000000e+00	1.095786e-15	2.814406e-09	1.000000e+00	7.863314e+01
117	2.340000e-03	1.000000e+00	0.000000e+00	1.035935e-15	2.758274e-09	1.000000e+00	7.924465e+01
118	2.360000e-03	1.000000e+00	0.000000e+00	1.052519e-15	1.855977e-09	1.000000e+00	7.985975e+01
119	2.380000e-03	1.000000e+00	0.000000e+00	1.045417e-15	9.840715e-10	1.000000e+00	8.047548e+01
120	2.400000e-03	1.000000e+00	0.000000e+00	1.024151e-15	1.019630e-09	1.000000e+00	8.109182e+01
121	2.420000e-03	1.000000e+00	0.000000e+00	1.042397e-15	1.009492e-09	1.000000e+00	8.170651e+01
122	2.440000e-03	1.000000e+00	0.000000e+00	1.010957e-15	3.474033e-09	1.000000e+00	8.232375e+01
123	2.460000e-03	1.000000e+00	0.000000e+00	1.046601e-15	2.669404e-09	1.000000e+00	8.293868e+01
124	2.480000e-03	1.000000e+00	0.000000e+00	1.034590e-15	2.028274e-09	1.000000e+00	8.355430e+01
125	2.500000e-03	1.000000e+00	0.000000e+00	1.036787e-15	5.837006e-10	1.000000e+00	8.417010e+01
126	2.520000e-03	1.000000e+00	0.000000e+00	1.012730e-15	3.777114e-09	1.000000e+00	8.478711e+01
127	2.540000e-03	1.000000e+00	0.000000e+00	1.061269e-15	2.102432e-09	1.000000e+00	8.540429e+01
128	2.560000e-03	1.000000e+00	0.000000e+00	1.045860e-15	3.332528e-09	1.000000e+00	8.602130e+01
129	2.580000e-03	1.000000e+00	0.000000e+00	1.027621e-15	2.560808e-09	1.000000e+00	8.663922e+01
130	2.600000e-03	1.000000e+00	0.000000e+00	1.036184e-15	3.943903e-09	1.000000e+00	8.725880e+01
131	2.620000e-03	1.000000e+00	0.000000e+00	1.052061e-15	5.409428e-09	1.000000e+00	8.787798e+01
132	2.640000e-03	1.000000e+00	0.000000e+00	1.044398e-15	5.614366e-09	1.000000e+00	8.849639e+01
133	2.660000e-03	1.000000e+00	0.000000e+00	1.058190e-15	4.868402e-09	1.000000e+00	8.911551e+01
134	2.680000e-03	1.000000e+00	0.000000e+00	1.051420e-15	5.546090e-09	1.000000e+00	8.973524e+01
135	2.700000e-03	1.000000e+00	0.000000e+00	1.094470e-15	5.183214e-09	1.000000e+00	9.035465e+01
136	2.720000e-03	1.000000e+00	0.000000e+00	1.046412e-15	4.943097e-09	1.000000e+00	9.097452e+01
